Shape,Label,ShapeLoc,Condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,resp,rt,Exclude,StrangerShape,P1Shape,P2Shape,corr,Training,nCorr,trialinblock,BlankFrames,Block,Pair Number,Participant 1 Age,Participant 2 Age,Phase
P1,P1,Top,Match,1,7,31,1,w,0.61674721,0,STAR,TRIANGLE,PENTAGON,1,0,27,32,78,1,1,23,21,1
Stranger,P2,Top,Mismatch,1,8,32,19,o,0.866783234,0,STAR,TRIANGLE,PENTAGON,1,0,28,33,78,1,1,23,21,1
P2,P2,Top,Match,1,9,33,8,w,0.616805244,0,STAR,TRIANGLE,PENTAGON,1,0,29,34,78,1,1,23,21,1
P2,P2,Bottom,Match,1,10,34,12,w,0.950180951,0,STAR,TRIANGLE,PENTAGON,1,0,30,35,78,1,1,23,21,1
P2,P1,Bottom,Mismatch,1,11,35,14,o,0.700117291,0,STAR,TRIANGLE,PENTAGON,1,0,31,36,78,1,1,23,21,1
Stranger,P2,Bottom,Mismatch,1,12,36,23,o,0.700153217,0,STAR,TRIANGLE,PENTAGON,1,0,32,37,78,1,1,23,21,1
Stranger,Stranger,Top,Match,1,13,37,17,w,0.650198756,0,STAR,TRIANGLE,PENTAGON,1,0,33,38,78,1,1,23,21,1
P2,Stranger,Top,Mismatch,1,14,38,11,o,0.783486189,0,STAR,TRIANGLE,PENTAGON,1,0,34,39,78,1,1,23,21,1
P1,P2,Bottom,Mismatch,1,15,39,7,o,0.683460804,0,STAR,TRIANGLE,PENTAGON,1,0,35,40,78,1,1,23,21,1
P2,P2,Top,Match,1,16,40,8,w,0.800175838,0,STAR,TRIANGLE,PENTAGON,1,0,36,41,78,1,1,23,21,1
P2,Stranger,Bottom,Mismatch,1,17,41,15,o,1.416785267,0,STAR,TRIANGLE,PENTAGON,1,0,37,42,78,1,1,23,21,1
P1,P1,Bottom,Match,1,18,42,5,w,0.550189952,0,STAR,TRIANGLE,PENTAGON,1,0,38,43,78,1,1,23,21,1
Stranger,P1,Top,Mismatch,1,19,43,18,o,0.700183221,0,STAR,TRIANGLE,PENTAGON,1,0,39,44,78,1,1,23,21,1
P2,P2,Bottom,Match,1,20,44,13,w,0.650425759,0,STAR,TRIANGLE,PENTAGON,1,0,40,45,78,1,1,23,21,1
P1,P2,Top,Mismatch,1,21,45,3,o,0.683477385,0,STAR,TRIANGLE,PENTAGON,1,0,41,46,78,1,1,23,21,1
P1,Stranger,Bottom,Mismatch,1,22,46,6,o,1.383454527,0,STAR,TRIANGLE,PENTAGON,1,0,42,47,78,1,1,23,21,1
P2,P1,Bottom,Mismatch,1,23,47,14,o,0.866818765,0,STAR,TRIANGLE,PENTAGON,1,0,43,48,78,1,1,23,21,1
Stranger,P2,Bottom,Mismatch,2,0,48,23,o,0.616836432,0,STAR,TRIANGLE,PENTAGON,1,0,44,49,78,1,1,23,21,1
P2,P2,Bottom,Match,2,1,49,13,w,0.767196459,0,STAR,TRIANGLE,PENTAGON,1,0,45,50,78,1,1,23,21,1
P1,P2,Top,Mismatch,2,2,50,3,o,0.633509106,0,STAR,TRIANGLE,PENTAGON,1,0,46,51,78,1,1,23,21,1
P2,P2,Top,Match,2,3,51,9,w,0.93348459,0,STAR,TRIANGLE,PENTAGON,1,0,47,52,78,1,1,23,21,1
P1,Stranger,Bottom,Mismatch,2,4,52,6,o,1.38351256,0,STAR,TRIANGLE,PENTAGON,1,0,48,53,78,1,1,23,21,1
P1,Stranger,Top,Mismatch,2,5,53,2,o,0.833516844,0,STAR,TRIANGLE,PENTAGON,1,0,49,54,78,1,1,23,21,1
P1,Stranger,Top,Mismatch,2,6,54,2,o,1.066837557,0,STAR,TRIANGLE,PENTAGON,1,0,50,55,78,1,1,23,21,1
Stranger,Stranger,Bottom,Match,2,7,55,21,w,1.216801217,1,STAR,TRIANGLE,PENTAGON,1,0,51,56,78,1,1,23,21,1
P2,P2,Top,Match,2,8,56,9,w,0.666829977,0,STAR,TRIANGLE,PENTAGON,1,0,52,57,78,1,1,23,21,1
P2,P1,Bottom,Mismatch,2,9,57,14,o,0.733496986,0,STAR,TRIANGLE,PENTAGON,1,0,53,58,78,1,1,23,21,1
P1,P1,Bottom,Match,2,10,58,4,w,0.51685171,0,STAR,TRIANGLE,PENTAGON,1,0,54,59,78,1,1,23,21,1
Stranger,Stranger,Bottom,Match,2,11,59,21,w,0.917106427,0,STAR,TRIANGLE,PENTAGON,1,0,55,60,78,1,1,23,21,1
Stranger,P2,Bottom,Mismatch,2,12,60,23,o,0.833769508,0,STAR,TRIANGLE,PENTAGON,1,0,56,61,78,1,1,23,21,1
P2,P1,Bottom,Mismatch,2,13,61,14,o,1.366819357,0,STAR,TRIANGLE,PENTAGON,1,0,57,62,78,1,1,23,21,1
Stranger,Stranger,Top,Match,2,14,62,17,o,0.733501329,0,STAR,TRIANGLE,PENTAGON,0,0,57,63,78,1,1,23,21,1
P2,P1,Top,Mismatch,2,15,63,10,o,1.350144315,0,STAR,TRIANGLE,PENTAGON,1,0,58,64,78,1,1,23,21,1
P2,P1,Top,Mismatch,2,16,64,10,o,0.916820601,0,STAR,TRIANGLE,PENTAGON,1,0,59,65,78,1,1,23,21,1
P1,P1,Bottom,Match,2,17,65,4,w,0.566814857,0,STAR,TRIANGLE,PENTAGON,1,0,60,66,78,1,1,23,21,1
Stranger,Stranger,Bottom,Match,2,18,66,21,w,0.78363147,0,STAR,TRIANGLE,PENTAGON,1,0,61,67,78,1,1,23,21,1
Stranger,P2,Top,Mismatch,2,19,67,19,o,0.783458553,0,STAR,TRIANGLE,PENTAGON,1,0,62,68,78,1,1,23,21,1
P2,Stranger,Bottom,Mismatch,2,20,68,15,o,1.016814403,0,STAR,TRIANGLE,PENTAGON,1,0,63,69,78,1,1,23,21,1
Stranger,Stranger,Bottom,Match,2,21,69,20,w,0.666798789,0,STAR,TRIANGLE,PENTAGON,1,0,64,70,78,1,1,23,21,1
P1,Stranger,Top,Mismatch,2,22,70,2,o,0.633785063,0,STAR,TRIANGLE,PENTAGON,1,0,65,71,78,1,1,23,21,1
P1,P1,Top,Match,2,23,71,0,w,0.583816389,0,STAR,TRIANGLE,PENTAGON,1,0,66,72,78,1,1,23,21,1
P2,P2,Bottom,Match,3,0,72,13,w,0.650455763,0,STAR,TRIANGLE,PENTAGON,1,0,67,73,78,1,1,23,21,1
Stranger,P2,Top,Mismatch,3,1,73,19,o,0.666798394,0,STAR,TRIANGLE,PENTAGON,1,0,68,74,78,1,1,23,21,1
P1,P2,Bottom,Mismatch,3,2,74,7,o,0.866808501,0,STAR,TRIANGLE,PENTAGON,1,0,69,75,78,1,1,23,21,1
P2,P2,Top,Match,3,3,75,8,w,1.300103395,1,STAR,TRIANGLE,PENTAGON,1,0,70,76,78,1,1,23,21,1
P1,P1,Top,Match,3,4,76,0,w,0.650137959,0,STAR,TRIANGLE,PENTAGON,1,0,71,77,78,1,1,23,21,1
P1,P1,Bottom,Match,3,5,77,4,w,0.633472786,0,STAR,TRIANGLE,PENTAGON,1,0,72,78,78,1,1,23,21,1
P2,P2,Top,Match,3,6,78,8,w,0.700130714,0,STAR,TRIANGLE,PENTAGON,1,0,73,79,78,1,1,23,21,1
P2,Stranger,Top,Mismatch,3,7,79,11,o,0.833538557,0,STAR,TRIANGLE,PENTAGON,1,0,74,80,78,1,1,23,21,1
P2,Stranger,Bottom,Mismatch,3,8,80,15,o,0.767129739,0,STAR,TRIANGLE,PENTAGON,1,0,75,81,78,1,1,23,21,1
Stranger,P2,Top,Mismatch,3,9,81,19,o,0.833484076,0,STAR,TRIANGLE,PENTAGON,1,0,76,82,78,1,1,23,21,1
Stranger,Stranger,Bottom,Match,3,10,82,20,w,0.833466311,0,STAR,TRIANGLE,PENTAGON,1,0,77,83,78,1,1,23,21,1
P2,P2,Bottom,Match,3,11,83,13,w,0.86682824,0,STAR,TRIANGLE,PENTAGON,1,0,78,84,78,1,1,23,21,1
Stranger,Stranger,Bottom,Match,3,12,84,20,w,1.450133379,1,STAR,TRIANGLE,PENTAGON,1,0,79,85,78,1,1,23,21,1
P1,P2,Bottom,Mismatch,3,13,85,7,o,1.100090525,0,STAR,TRIANGLE,PENTAGON,1,0,80,86,78,1,1,23,21,1
Stranger,P1,Bottom,Mismatch,3,14,86,22,o,1.15009394,0,STAR,TRIANGLE,PENTAGON,1,0,81,87,78,1,1,23,21,1
P2,Stranger,Bottom,Mismatch,3,15,87,15,o,1.333451506,0,STAR,TRIANGLE,PENTAGON,1,0,82,88,78,1,1,23,21,1
P1,P2,Top,Mismatch,3,16,88,3,o,0.783481451,0,STAR,TRIANGLE,PENTAGON,1,0,83,89,78,1,1,23,21,1
P2,P2,Top,Match,3,17,89,8,w,0.683516074,0,STAR,TRIANGLE,PENTAGON,1,0,84,90,78,1,1,23,21,1
P1,P1,Bottom,Match,3,18,90,4,w,0.666809843,0,STAR,TRIANGLE,PENTAGON,1,0,85,91,78,1,1,23,21,1
Stranger,Stranger,Bottom,Match,3,19,91,21,w,0.683617534,0,STAR,TRIANGLE,PENTAGON,1,0,86,92,78,1,1,23,21,1
Stranger,Stranger,Top,Match,3,20,92,16,w,0.916799282,0,STAR,TRIANGLE,PENTAGON,1,0,87,93,78,1,1,23,21,1
P1,P1,Bottom,Match,3,21,93,5,w,0.716791545,0,STAR,TRIANGLE,PENTAGON,1,0,88,94,78,1,1,23,21,1
P2,P2,Bottom,Match,3,22,94,12,w,0.666867482,0,STAR,TRIANGLE,PENTAGON,1,0,89,95,78,1,1,23,21,1
P2,P1,Top,Mismatch,3,23,95,10,o,0.900131346,0,STAR,TRIANGLE,PENTAGON,1,0,90,96,78,1,1,23,21,1
P2,P2,Bottom,Match,4,0,96,12,w,1.116780175,0,STAR,TRIANGLE,PENTAGON,1,0,91,97,78,1,1,23,21,1
Stranger,P2,Bottom,Mismatch,4,1,97,23,o,1.283438222,0,STAR,TRIANGLE,PENTAGON,1,0,92,98,78,1,1,23,21,1
Stranger,Stranger,Top,Match,4,2,98,16,w,0.900128977,0,STAR,TRIANGLE,PENTAGON,1,0,93,99,78,1,1,23,21,1
P2,Stranger,Bottom,Mismatch,4,3,99,15,o,1.217140734,0,STAR,TRIANGLE,PENTAGON,1,0,94,100,78,1,1,23,21,1
P1,Stranger,Bottom,Mismatch,4,4,100,6,o,0.766833649,0,STAR,TRIANGLE,PENTAGON,1,0,95,101,78,1,1,23,21,1
P1,P1,Bottom,Match,4,5,101,5,w,0.566829464,0,STAR,TRIANGLE,PENTAGON,1,0,96,102,78,1,1,23,21,1
Stranger,Stranger,Bottom,Match,4,6,102,20,w,0.900130951,0,STAR,TRIANGLE,PENTAGON,1,0,97,103,78,1,1,23,21,1
P1,P2,Top,Mismatch,4,7,103,3,o,1.150146447,0,STAR,TRIANGLE,PENTAGON,1,0,98,104,78,1,1,23,21,1
Stranger,P1,Bottom,Mismatch,4,8,104,22,None,None,1,STAR,TRIANGLE,PENTAGON,3,0,98,105,78,1,1,23,21,1
P2,P2,Top,Match,4,9,105,9,w,0.850457184,0,STAR,TRIANGLE,PENTAGON,1,0,99,106,78,1,1,23,21,1
Stranger,Stranger,Top,Match,4,10,106,16,w,0.666829188,0,STAR,TRIANGLE,PENTAGON,1,0,100,107,78,1,1,23,21,1
P2,P2,Bottom,Match,4,11,107,12,w,0.667129226,0,STAR,TRIANGLE,PENTAGON,1,0,101,108,78,1,1,23,21,1
Stranger,P1,Top,Mismatch,4,12,108,18,o,0.983435893,0,STAR,TRIANGLE,PENTAGON,1,0,102,109,78,1,1,23,21,1
P1,P1,Top,Match,4,13,109,0,w,0.616855382,0,STAR,TRIANGLE,PENTAGON,1,0,103,110,78,1,1,23,21,1
P1,Stranger,Bottom,Mismatch,4,14,110,6,None,None,1,STAR,TRIANGLE,PENTAGON,3,0,103,111,78,1,1,23,21,1
P2,P2,Top,Match,4,15,111,9,w,0.63347397,0,STAR,TRIANGLE,PENTAGON,1,0,104,112,78,1,1,23,21,1
P1,Stranger,Bottom,Mismatch,4,16,112,6,o,0.916790597,0,STAR,TRIANGLE,PENTAGON,1,0,105,113,78,1,1,23,21,1
Stranger,Stranger,Bottom,Match,4,17,113,21,w,0.783531589,0,STAR,TRIANGLE,PENTAGON,1,0,106,114,78,1,1,23,21,1
P1,P1,Top,Match,4,18,114,1,w,0.683469094,0,STAR,TRIANGLE,PENTAGON,1,0,107,115,78,1,1,23,21,1
Stranger,P1,Bottom,Mismatch,4,19,115,22,o,0.750125049,0,STAR,TRIANGLE,PENTAGON,1,0,108,116,78,1,1,23,21,1
Stranger,P1,Bottom,Mismatch,4,20,116,22,o,1.033455889,0,STAR,TRIANGLE,PENTAGON,1,0,109,117,78,1,1,23,21,1
P1,Stranger,Top,Mismatch,4,21,117,2,None,None,1,STAR,TRIANGLE,PENTAGON,3,0,109,118,78,1,1,23,21,1
Stranger,P1,Top,Mismatch,4,22,118,18,None,None,1,STAR,TRIANGLE,PENTAGON,3,0,109,119,78,1,1,23,21,1
P2,P2,Bottom,Match,4,23,119,13,w,0.550187978,0,STAR,TRIANGLE,PENTAGON,1,0,110,120,78,1,1,23,21,1
P2,P1,Bottom,Mismatch,0,0,0,14,o,1.083446276,0,STAR,TRIANGLE,PENTAGON,1,0,1,1,78,2,1,23,21,1
P2,P2,Top,Match,0,1,1,8,w,0.650192439,0,STAR,TRIANGLE,PENTAGON,1,0,2,2,78,2,1,23,21,1
P1,Stranger,Top,Mismatch,0,2,2,2,o,0.833492762,0,STAR,TRIANGLE,PENTAGON,1,0,3,3,78,2,1,23,21,1
P2,P2,Bottom,Match,0,3,3,12,w,0.650251657,0,STAR,TRIANGLE,PENTAGON,1,0,4,4,78,2,1,23,21,1
Stranger,P1,Bottom,Mismatch,0,4,4,22,o,0.833495131,0,STAR,TRIANGLE,PENTAGON,1,0,5,5,78,2,1,23,21,1
P1,P1,Top,Match,0,5,5,0,w,0.500448676,0,STAR,TRIANGLE,PENTAGON,1,0,6,6,78,2,1,23,21,1
P2,Stranger,Top,Mismatch,0,6,6,11,o,0.783526062,0,STAR,TRIANGLE,PENTAGON,1,0,7,7,78,2,1,23,21,1
P2,Stranger,Top,Mismatch,0,7,7,11,o,0.84996291,0,STAR,TRIANGLE,PENTAGON,1,0,8,8,78,2,1,23,21,1
Stranger,Stranger,Bottom,Match,0,8,8,20,w,0.616841564,0,STAR,TRIANGLE,PENTAGON,1,0,9,9,78,2,1,23,21,1
P2,P2,Top,Match,0,9,9,8,w,0.600143624,0,STAR,TRIANGLE,PENTAGON,1,0,10,10,78,2,1,23,21,1
P2,Stranger,Bottom,Mismatch,0,10,10,15,o,0.900181484,0,STAR,TRIANGLE,PENTAGON,1,0,11,11,78,2,1,23,21,1
P2,P2,Bottom,Match,0,11,11,12,w,0.550192716,0,STAR,TRIANGLE,PENTAGON,1,0,12,12,78,2,1,23,21,1
Stranger,Stranger,Bottom,Match,0,12,12,21,w,0.750182688,0,STAR,TRIANGLE,PENTAGON,1,0,13,13,78,2,1,23,21,1
Stranger,P2,Bottom,Mismatch,0,13,13,23,o,0.967112606,0,STAR,TRIANGLE,PENTAGON,1,0,14,14,78,2,1,23,21,1
P2,P2,Top,Match,0,14,14,9,w,0.633509501,0,STAR,TRIANGLE,PENTAGON,1,0,15,15,78,2,1,23,21,1
P1,Stranger,Bottom,Mismatch,0,15,15,6,o,1.266770285,0,STAR,TRIANGLE,PENTAGON,1,0,16,16,78,2,1,23,21,1
Stranger,Stranger,Bottom,Match,0,16,16,20,w,0.96689942,0,STAR,TRIANGLE,PENTAGON,1,0,17,17,78,2,1,23,21,1
Stranger,P2,Bottom,Mismatch,0,17,17,23,o,0.783574621,0,STAR,TRIANGLE,PENTAGON,1,0,18,18,78,2,1,23,21,1
Stranger,P1,Top,Mismatch,0,18,18,18,o,0.683474226,0,STAR,TRIANGLE,PENTAGON,1,0,19,19,78,2,1,23,21,1
Stranger,Stranger,Bottom,Match,0,19,19,21,w,0.833479339,0,STAR,TRIANGLE,PENTAGON,1,0,20,20,78,2,1,23,21,1
P1,P1,Bottom,Match,0,20,20,5,w,0.583465818,0,STAR,TRIANGLE,PENTAGON,1,0,21,21,78,2,1,23,21,1
P1,P1,Bottom,Match,0,21,21,4,w,0.667120541,0,STAR,TRIANGLE,PENTAGON,1,0,22,22,78,2,1,23,21,1
P1,P2,Top,Mismatch,0,22,22,3,o,0.700113344,0,STAR,TRIANGLE,PENTAGON,1,0,23,23,78,2,1,23,21,1
P2,Stranger,Bottom,Mismatch,0,23,23,15,o,0.916822575,0,STAR,TRIANGLE,PENTAGON,1,0,24,24,78,2,1,23,21,1
Stranger,Stranger,Bottom,Match,1,0,24,21,w,0.650157698,0,STAR,TRIANGLE,PENTAGON,1,0,25,25,78,2,1,23,21,1
P1,P1,Top,Match,1,1,25,1,w,1.050147512,0,STAR,TRIANGLE,PENTAGON,1,0,26,26,78,2,1,23,21,1
P1,P1,Top,Match,1,2,26,0,w,0.700137426,0,STAR,TRIANGLE,PENTAGON,1,0,27,27,78,2,1,23,21,1
P2,P2,Top,Match,1,3,27,8,w,0.550144157,0,STAR,TRIANGLE,PENTAGON,1,0,28,28,78,2,1,23,21,1
P1,P1,Top,Match,1,4,28,1,o,0.833471443,0,STAR,TRIANGLE,PENTAGON,0,0,28,29,78,2,1,23,21,1
Stranger,P1,Top,Mismatch,1,5,29,18,o,1.000179234,0,STAR,TRIANGLE,PENTAGON,1,0,29,30,78,2,1,23,21,1
Stranger,P2,Top,Mismatch,1,6,30,19,o,1.13343232,0,STAR,TRIANGLE,PENTAGON,1,0,30,31,78,2,1,23,21,1
Stranger,P1,Bottom,Mismatch,1,7,31,22,o,0.750132155,0,STAR,TRIANGLE,PENTAGON,1,0,31,32,78,2,1,23,21,1
P1,P2,Bottom,Mismatch,1,8,32,7,None,None,1,STAR,TRIANGLE,PENTAGON,3,0,31,33,78,2,1,23,21,1
P1,P1,Bottom,Match,1,9,33,5,w,0.750161369,0,STAR,TRIANGLE,PENTAGON,1,0,32,34,78,2,1,23,21,1
Stranger,P1,Top,Mismatch,1,10,34,18,o,0.783490136,0,STAR,TRIANGLE,PENTAGON,1,0,33,35,78,2,1,23,21,1
P2,P2,Bottom,Match,1,11,35,12,w,0.550193505,0,STAR,TRIANGLE,PENTAGON,1,0,34,36,78,2,1,23,21,1
P2,P2,Top,Match,1,12,36,9,w,0.650127694,0,STAR,TRIANGLE,PENTAGON,1,0,35,37,78,2,1,23,21,1
P2,P2,Bottom,Match,1,13,37,13,w,0.533543729,0,STAR,TRIANGLE,PENTAGON,1,0,36,38,78,2,1,23,21,1
Stranger,Stranger,Top,Match,1,14,38,16,w,0.616900782,0,STAR,TRIANGLE,PENTAGON,1,0,37,39,78,2,1,23,21,1
Stranger,P2,Top,Mismatch,1,15,39,19,o,0.866785998,0,STAR,TRIANGLE,PENTAGON,1,0,38,40,78,2,1,23,21,1
P1,P2,Bottom,Mismatch,1,16,40,7,o,0.966790459,0,STAR,TRIANGLE,PENTAGON,1,0,39,41,78,2,1,23,21,1
P1,P1,Bottom,Match,1,17,41,4,w,0.483472805,0,STAR,TRIANGLE,PENTAGON,1,0,40,42,78,2,1,23,21,1
P2,P2,Bottom,Match,1,18,42,13,w,0.566846835,0,STAR,TRIANGLE,PENTAGON,1,0,41,43,78,2,1,23,21,1
Stranger,P2,Top,Mismatch,1,19,43,19,o,0.650147828,0,STAR,TRIANGLE,PENTAGON,1,0,42,44,78,2,1,23,21,1
P1,Stranger,Top,Mismatch,1,20,44,2,o,1.050108034,0,STAR,TRIANGLE,PENTAGON,1,0,43,45,78,2,1,23,21,1
P2,P2,Top,Match,1,21,45,9,w,0.85006437,0,STAR,TRIANGLE,PENTAGON,1,0,44,46,78,2,1,23,21,1
P1,P1,Bottom,Match,1,22,46,4,w,0.650179016,0,STAR,TRIANGLE,PENTAGON,1,0,45,47,78,2,1,23,21,1
P1,P1,Top,Match,1,23,47,1,w,0.633498447,0,STAR,TRIANGLE,PENTAGON,1,0,46,48,78,2,1,23,21,1
Stranger,Stranger,Top,Match,2,0,48,16,w,0.516966593,0,STAR,TRIANGLE,PENTAGON,1,0,47,49,78,2,1,23,21,1
P2,Stranger,Bottom,Mismatch,2,1,49,15,o,0.800150967,0,STAR,TRIANGLE,PENTAGON,1,0,48,50,78,2,1,23,21,1
Stranger,P1,Bottom,Mismatch,2,2,50,22,o,1.000150809,0,STAR,TRIANGLE,PENTAGON,1,0,49,51,78,2,1,23,21,1
P2,P1,Top,Mismatch,2,3,51,10,o,0.733464219,0,STAR,TRIANGLE,PENTAGON,1,0,50,52,78,2,1,23,21,1
P2,P1,Bottom,Mismatch,2,4,52,14,o,0.900170825,0,STAR,TRIANGLE,PENTAGON,1,0,51,53,78,2,1,23,21,1
P2,P2,Bottom,Match,2,5,53,12,w,0.650176253,0,STAR,TRIANGLE,PENTAGON,1,0,52,54,78,2,1,23,21,1
P1,Stranger,Top,Mismatch,2,6,54,2,o,0.850092795,0,STAR,TRIANGLE,PENTAGON,1,0,53,55,78,2,1,23,21,1
P1,P2,Top,Mismatch,2,7,55,3,o,1.133482063,0,STAR,TRIANGLE,PENTAGON,1,0,54,56,78,2,1,23,21,1
P2,P1,Top,Mismatch,2,8,56,10,o,0.800221239,0,STAR,TRIANGLE,PENTAGON,1,0,55,57,78,2,1,23,21,1
P1,P1,Bottom,Match,2,9,57,5,w,0.533538597,0,STAR,TRIANGLE,PENTAGON,1,0,56,58,78,2,1,23,21,1
P1,P1,Top,Match,2,10,58,0,w,0.633511475,0,STAR,TRIANGLE,PENTAGON,1,0,57,59,78,2,1,23,21,1
P2,P1,Top,Mismatch,2,11,59,10,o,0.8168722,0,STAR,TRIANGLE,PENTAGON,1,0,58,60,78,2,1,23,21,1
Stranger,Stranger,Bottom,Match,2,12,60,21,w,0.716859053,0,STAR,TRIANGLE,PENTAGON,1,0,59,61,78,2,1,23,21,1
P1,P2,Bottom,Mismatch,2,13,61,7,o,0.833476575,0,STAR,TRIANGLE,PENTAGON,1,0,60,62,78,2,1,23,21,1
Stranger,Stranger,Top,Match,2,14,62,16,w,0.81678811,0,STAR,TRIANGLE,PENTAGON,1,0,61,63,78,2,1,23,21,1
P2,P1,Bottom,Mismatch,2,15,63,14,o,1.18344521,0,STAR,TRIANGLE,PENTAGON,1,0,62,64,78,2,1,23,21,1
P1,Stranger,Bottom,Mismatch,2,16,64,6,o,0.833470654,0,STAR,TRIANGLE,PENTAGON,1,0,63,65,78,2,1,23,21,1
P1,P2,Bottom,Mismatch,2,17,65,7,o,0.800156494,0,STAR,TRIANGLE,PENTAGON,1,0,64,66,78,2,1,23,21,1
Stranger,Stranger,Bottom,Match,2,18,66,20,w,0.566881576,0,STAR,TRIANGLE,PENTAGON,1,0,65,67,78,2,1,23,21,1
Stranger,P1,Bottom,Mismatch,2,19,67,22,o,0.800178602,0,STAR,TRIANGLE,PENTAGON,1,0,66,68,78,2,1,23,21,1
Stranger,Stranger,Top,Match,2,20,68,16,w,1.2501363,1,STAR,TRIANGLE,PENTAGON,1,0,67,69,78,2,1,23,21,1
