ExperimentName,Subject,Age,Handedness,Sex,Block,Bed,corr[Block],form[Block],Procedure[Block],Match,corr[Trial],form[Trial],Label[Trial],MT4.ACC,MT4.RT,Procedure,ACC,RT,target,Identity,Slide2.ACC,Slide2.RT,PrimeAss
RP_Personenaufg,1,19,right,female,26,,,,MT,bn,s,triangle.png,Bekannter,1,465,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,bn,s,square.png,Bekannter,1,576,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,mm,l,square.png,Mutter,0,354,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,bm,l,circle.png,Bekannter,1,518,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,mn,s,triangle.png,Mutter,1,563,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,mn,s,circle.png,Mutter,1,485,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,bm,l,circle.png,Bekannter,1,452,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,mm,l,square.png,Mutter,0,459,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,in,s,square.png,Ich,1,626,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,in,s,circle.png,Ich,0,538,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,im,l,triangle.png,Ich,1,494,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,mn,s,triangle.png,Mutter,1,532,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,bn,s,square.png,Bekannter,1,632,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,im,l,triangle.png,Ich,1,455,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,mn,s,circle.png,Mutter,0,591,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,bm,l,circle.png,Bekannter,0,576,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,bn,s,triangle.png,Bekannter,1,651,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,mm,l,square.png,Mutter,1,593,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,in,s,circle.png,Ich,1,555,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,im,l,triangle.png,Ich,1,374,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,bn,s,square.png,Bekannter,1,633,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,im,l,triangle.png,Ich,1,481,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,mm,l,square.png,Mutter,0,568,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,mm,l,square.png,Mutter,1,578,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,bm,l,circle.png,Bekannter,1,588,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,mn,s,triangle.png,Mutter,1,534,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,in,s,square.png,Ich,1,545,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,mn,s,circle.png,Mutter,1,637,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,bm,l,circle.png,Bekannter,1,444,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,bn,s,triangle.png,Bekannter,1,492,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,bn,s,square.png,Bekannter,0,594,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,bm,l,circle.png,Bekannter,1,500,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,mn,s,triangle.png,Mutter,0,498,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,im,l,triangle.png,Ich,1,376,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,mm,l,square.png,Mutter,1,315,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,bn,s,triangle.png,Bekannter,1,465,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,im,l,triangle.png,Ich,1,400,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,mn,s,circle.png,Mutter,0,602,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,in,s,square.png,Ich,1,667,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,bm,l,circle.png,Bekannter,0,688,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,mm,l,square.png,Mutter,1,453,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,26,,,,MT,in,s,circle.png,Ich,1,469,MTproc,,,,,,,
RP_Personenaufg,1,19,right,female,27,,,,RP,incomp,,,,,,RPproc,0,532,circle.png,Bekannter,,,Ich
RP_Personenaufg,1,19,right,female,27,,,,RP,incomp,,,,,,RPproc,1,471,triangle.png,Ich,,,Mutter
RP_Personenaufg,1,19,right,female,27,,,,RP,comp,,,,,,RPproc,1,363,circle.png,Bekannter,,,Bekannter
RP_Personenaufg,1,19,right,female,27,,,,RP,comp,,,,,,RPproc,1,261,square.png,Mutter,,,Mutter
RP_Personenaufg,1,19,right,female,27,,,,RP,incomp,,,,,,RPproc,0,227,square.png,Mutter,,,Bekannter
RP_Personenaufg,1,19,right,female,27,,,,RP,incomp,,,,,,RPproc,1,428,circle.png,Bekannter,,,Mutter
RP_Personenaufg,1,19,right,female,27,,,,RP,incomp,,,,,,RPproc,1,507,triangle.png,Ich,,,Bekannter
RP_Personenaufg,1,19,right,female,27,,,,RP,comp,,,,,,RPproc,1,358,circle.png,Bekannter,,,Bekannter
RP_Personenaufg,1,19,right,female,27,,,,RP,incomp,,,,,,RPproc,1,272,square.png,Mutter,,,Ich
RP_Personenaufg,1,19,right,female,27,,,,RP,comp,,,,,,RPproc,1,246,triangle.png,Ich,,,Ich
RP_Personenaufg,1,19,right,female,27,,,,RP,comp,,,,,,RPproc,1,356,triangle.png,Ich,,,Ich
RP_Personenaufg,1,19,right,female,27,,,,RP,comp,,,,,,RPproc,1,302,square.png,Mutter,,,Mutter
RP_Personenaufg,1,19,right,female,27,,,,RP,incomp,,,,,,RPproc,1,443,circle.png,Bekannter,,,Ich
RP_Personenaufg,1,19,right,female,27,,,,RP,incomp,,,,,,RPproc,1,385,triangle.png,Ich,,,Bekannter
RP_Personenaufg,1,19,right,female,27,,,,RP,comp,,,,,,RPproc,1,320,square.png,Mutter,,,Mutter
RP_Personenaufg,1,19,right,female,27,,,,RP,incomp,,,,,,RPproc,1,476,square.png,Mutter,,,Bekannter
RP_Personenaufg,1,19,right,female,27,,,,RP,comp,,,,,,RPproc,1,313,circle.png,Bekannter,,,Bekannter
RP_Personenaufg,1,19,right,female,27,,,,RP,comp,,,,,,RPproc,1,284,triangle.png,Ich,,,Ich
RP_Personenaufg,1,19,right,female,27,,,,RP,comp,,,,,,RPproc,1,401,square.png,Mutter,,,Mutter
RP_Personenaufg,1,19,right,female,27,,,,RP,incomp,,,,,,RPproc,1,401,triangle.png,Ich,,,Mutter
RP_Personenaufg,1,19,right,female,27,,,,RP,incomp,,,,,,RPproc,1,361,circle.png,Bekannter,,,Mutter
RP_Personenaufg,1,19,right,female,27,,,,RP,comp,,,,,,RPproc,0,323,circle.png,Bekannter,,,Bekannter
RP_Personenaufg,1,19,right,female,27,,,,RP,incomp,,,,,,RPproc,1,399,square.png,Mutter,,,Ich
RP_Personenaufg,1,19,right,female,27,,,,RP,comp,,,,,,RPproc,1,215,triangle.png,Ich,,,Ich
