subject,trialnum,shape,label,type,correct,latency,blocktype
739685494,24,friend,self,nonmatch,0,321,mixed
739685494,25,friend,friend,match,1,482,mixed
739685494,26,stranger,friend,nonmatch,1,411,mixed
739685494,27,stranger,self,nonmatch,1,383,mixed
739685494,28,stranger,self,nonmatch,1,426,mixed
739685494,29,stranger,friend,nonmatch,1,544,mixed
739685494,30,self,friend,nonmatch,1,446,mixed
739685494,31,self,stranger,nonmatch,1,439,mixed
739685494,32,friend,self,nonmatch,1,440,mixed
739685494,33,friend,stranger,nonmatch,0,579,mixed
739685494,34,stranger,stranger,match,1,476,mixed
739685494,35,stranger,stranger,match,1,427,mixed
739685494,36,friend,stranger,nonmatch,1,514,mixed
739685494,37,stranger,stranger,match,1,396,mixed
739685494,38,stranger,stranger,match,0,545,mixed
739685494,39,stranger,stranger,match,1,387,mixed
739685494,40,self,friend,nonmatch,1,510,mixed
739685494,41,self,stranger,nonmatch,1,439,mixed
739685494,42,stranger,stranger,match,1,511,mixed
739685494,43,friend,stranger,nonmatch,1,423,mixed
739685494,44,stranger,self,nonmatch,1,398,mixed
739685494,45,self,self,match,1,382,mixed
739685494,46,friend,friend,match,1,516,mixed
739685494,47,stranger,stranger,match,1,481,mixed
739685494,48,self,friend,nonmatch,1,441,mixed
739685494,49,friend,friend,match,1,345,mixed
739685494,50,friend,friend,match,1,400,mixed
739685494,52,friend,friend,match,1,511,mixed
739685494,53,self,self,match,1,427,mixed
739685494,54,stranger,friend,nonmatch,1,390,mixed
739685494,55,self,stranger,nonmatch,0,583,mixed
739685494,56,friend,friend,match,1,369,mixed
739685494,57,friend,stranger,nonmatch,1,517,mixed
739685494,58,self,stranger,nonmatch,1,496,mixed
739685494,59,friend,self,nonmatch,1,720,mixed
739685494,60,self,friend,nonmatch,1,622,mixed
739685494,1,stranger,stranger,match,1,492,mixed
739685494,2,friend,self,nonmatch,1,412,mixed
739685494,3,stranger,self,nonmatch,1,654,mixed
739685494,4,self,self,match,1,350,mixed
739685494,5,self,friend,nonmatch,1,356,mixed
739685494,6,self,self,match,0,449,mixed
739685494,7,self,friend,nonmatch,1,469,mixed
739685494,8,stranger,stranger,match,1,828,mixed
739685494,9,self,self,match,1,379,mixed
739685494,10,stranger,friend,nonmatch,1,426,mixed
739685494,11,self,stranger,nonmatch,0,540,mixed
739685494,12,stranger,stranger,match,0,727,mixed
739685494,13,stranger,stranger,match,1,525,mixed
739685494,14,friend,friend,match,1,647,mixed
739685494,15,stranger,friend,nonmatch,1,605,mixed
739685494,16,stranger,stranger,match,0,716,mixed
739685494,17,self,stranger,nonmatch,1,390,mixed
739685494,18,friend,friend,match,1,398,mixed
739685494,19,self,self,match,1,535,mixed
739685494,20,stranger,friend,nonmatch,1,897,mixed
739685494,21,stranger,stranger,match,1,491,mixed
739685494,22,friend,stranger,nonmatch,1,740,mixed
739685494,23,stranger,self,nonmatch,0,751,mixed
739685494,24,stranger,self,nonmatch,1,520,mixed
739685494,25,friend,self,nonmatch,0,383,mixed
739685494,26,friend,self,nonmatch,1,471,mixed
739685494,27,self,stranger,nonmatch,1,424,mixed
739685494,28,self,friend,nonmatch,1,480,mixed
739685494,29,friend,stranger,nonmatch,0,496,mixed
739685494,30,self,self,match,1,375,mixed
739685494,31,stranger,stranger,match,1,464,mixed
739685494,32,friend,friend,match,0,442,mixed
739685494,33,friend,friend,match,1,389,mixed
739685494,34,stranger,self,nonmatch,1,928,mixed
739685494,35,friend,stranger,nonmatch,1,602,mixed
739685494,36,self,self,match,1,392,mixed
739685494,37,self,self,match,1,666,mixed
739685494,38,stranger,friend,nonmatch,1,551,mixed
739685494,39,stranger,stranger,match,1,806,mixed
739685494,40,stranger,friend,nonmatch,1,477,mixed
739685494,41,friend,self,nonmatch,1,500,mixed
739685494,42,friend,friend,match,1,343,mixed
739685494,43,stranger,stranger,match,1,424,mixed
739685494,44,self,friend,nonmatch,1,418,mixed
739685494,45,self,stranger,nonmatch,1,424,mixed
739685494,46,friend,self,nonmatch,1,436,mixed
739685494,47,friend,friend,match,1,393,mixed
739685494,48,friend,stranger,nonmatch,1,370,mixed
739685494,49,stranger,stranger,match,0,466,mixed
739685494,50,friend,friend,match,0,392,mixed
739685494,51,self,self,match,1,506,mixed
739685494,52,self,self,match,1,349,mixed
739685494,53,self,stranger,nonmatch,1,416,mixed
739685494,54,stranger,self,nonmatch,1,392,mixed
739685494,55,self,self,match,1,375,mixed
739685494,56,self,friend,nonmatch,1,384,mixed
739685494,57,friend,friend,match,1,414,mixed
739685494,58,friend,stranger,nonmatch,1,421,mixed
739685494,59,friend,friend,match,1,577,mixed
739685494,60,friend,friend,match,1,609,mixed
739685494,1,friend,stranger,nonmatch,0,542,blocked
739685494,2,friend,friend,match,1,348,blocked
739685494,3,friend,friend,match,1,429,blocked
739685494,4,friend,friend,match,1,414,blocked
739685494,5,friend,self,nonmatch,1,372,blocked
739685494,6,friend,stranger,nonmatch,0,412,blocked
739685494,7,friend,friend,match,0,540,blocked
739685494,8,friend,self,nonmatch,1,636,blocked
739685494,9,friend,stranger,nonmatch,0,455,blocked
739685494,10,friend,friend,match,0,707,blocked
739685494,11,friend,friend,match,1,398,blocked
739685494,12,friend,self,nonmatch,1,371,blocked
739685494,13,friend,self,nonmatch,1,535,blocked
739685494,14,friend,friend,match,1,609,blocked
739685494,15,friend,friend,match,1,441,blocked
739685494,16,friend,friend,match,1,372,blocked
739685494,17,friend,friend,match,0,772,blocked
739685494,18,friend,friend,match,1,311,blocked
739685494,19,friend,stranger,nonmatch,1,396,blocked
739685494,20,friend,friend,match,1,463,blocked
739685494,21,friend,self,nonmatch,1,407,blocked
739685494,22,friend,friend,match,1,407,blocked
739685494,23,friend,stranger,nonmatch,1,482,blocked
739685494,24,friend,stranger,nonmatch,0,423,blocked
739685494,25,friend,self,nonmatch,1,444,blocked
739685494,26,friend,friend,match,1,403,blocked
739685494,27,friend,stranger,nonmatch,0,403,blocked
739685494,28,friend,friend,match,1,410,blocked
739685494,29,friend,friend,match,1,396,blocked
739685494,30,friend,friend,match,0,389,blocked
739685494,31,friend,friend,match,1,366,blocked
739685494,32,friend,self,nonmatch,1,330,blocked
739685494,33,friend,self,nonmatch,1,358,blocked
739685494,34,friend,stranger,nonmatch,0,327,blocked
739685494,35,friend,friend,match,0,390,blocked
739685494,36,friend,friend,match,1,415,blocked
739685494,37,friend,stranger,nonmatch,1,371,blocked
739685494,38,friend,self,nonmatch,1,425,blocked
739685494,39,friend,stranger,nonmatch,1,353,blocked
739685494,40,friend,self,nonmatch,0,312,blocked
739685494,41,friend,self,nonmatch,1,447,blocked
739685494,42,friend,stranger,nonmatch,1,917,blocked
739685494,43,friend,stranger,nonmatch,0,326,blocked
739685494,44,friend,friend,match,1,323,blocked
739685494,45,friend,friend,match,1,405,blocked
739685494,46,friend,friend,match,1,351,blocked
739685494,47,friend,stranger,nonmatch,1,314,blocked
739685494,48,friend,stranger,nonmatch,1,254,blocked
739685494,49,friend,friend,match,1,298,blocked
739685494,50,friend,self,nonmatch,0,382,blocked
739685494,51,friend,friend,match,1,359,blocked
739685494,52,friend,self,nonmatch,1,306,blocked
739685494,53,friend,friend,match,1,497,blocked
739685494,54,friend,friend,match,1,356,blocked
739685494,55,friend,friend,match,1,360,blocked
739685494,56,friend,self,nonmatch,1,385,blocked
739685494,57,friend,stranger,nonmatch,0,366,blocked
739685494,58,friend,friend,match,1,443,blocked
739685494,59,friend,self,nonmatch,1,338,blocked
739685494,60,friend,friend,match,1,332,blocked
502841139,1,friend,stranger,nonmatch,0,872,blocked
502841139,2,friend,self,nonmatch,1,207,blocked
502841139,3,friend,self,nonmatch,1,384,blocked
502841139,5,friend,friend,match,1,422,blocked
502841139,9,friend,friend,match,0,351,blocked
502841139,11,friend,stranger,nonmatch,0,228,blocked
502841139,12,friend,friend,match,0,459,blocked
502841139,13,friend,friend,match,1,214,blocked
502841139,14,friend,stranger,nonmatch,0,231,blocked
502841139,16,friend,friend,match,0,227,blocked
502841139,17,friend,friend,match,1,366,blocked
502841139,18,friend,friend,match,0,256,blocked
502841139,19,friend,friend,match,1,277,blocked
502841139,21,friend,self,nonmatch,1,239,blocked
502841139,22,friend,friend,match,1,438,blocked
502841139,23,friend,friend,match,1,412,blocked
502841139,24,friend,stranger,nonmatch,1,540,blocked
502841139,25,friend,self,nonmatch,0,316,blocked
502841139,26,friend,friend,match,1,290,blocked
502841139,27,friend,friend,match,1,529,blocked
502841139,28,friend,friend,match,1,442,blocked
502841139,29,friend,self,nonmatch,0,398,blocked
502841139,30,friend,friend,match,1,364,blocked
502841139,31,friend,friend,match,1,366,blocked
502841139,32,friend,stranger,nonmatch,1,404,blocked
502841139,33,friend,stranger,nonmatch,0,379,blocked
502841139,34,friend,friend,match,1,467,blocked
502841139,35,friend,stranger,nonmatch,1,392,blocked
502841139,36,friend,friend,match,1,414,blocked
502841139,37,friend,friend,match,1,570,blocked
502841139,38,friend,stranger,nonmatch,1,467,blocked
502841139,39,friend,friend,match,1,297,blocked
502841139,40,friend,stranger,nonmatch,1,381,blocked
502841139,41,friend,friend,match,1,505,blocked
502841139,42,friend,friend,match,1,409,blocked
502841139,43,friend,stranger,nonmatch,1,299,blocked
502841139,44,friend,self,nonmatch,1,339,blocked
502841139,45,friend,stranger,nonmatch,1,631,blocked
502841139,46,friend,self,nonmatch,1,566,blocked
502841139,47,friend,friend,match,1,351,blocked
502841139,48,friend,self,nonmatch,1,421,blocked
502841139,49,friend,friend,match,1,393,blocked
502841139,50,friend,self,nonmatch,1,476,blocked
502841139,51,friend,self,nonmatch,1,628,blocked
502841139,52,friend,friend,match,1,457,blocked
502841139,53,friend,friend,match,1,550,blocked
502841139,54,friend,self,nonmatch,1,487,blocked
502841139,56,friend,stranger,nonmatch,1,526,blocked
502841139,57,friend,friend,match,1,713,blocked
502841139,59,friend,self,nonmatch,1,743,blocked
502841139,60,friend,self,nonmatch,1,457,blocked
502841139,1,self,friend,nonmatch,1,356,mixed
502841139,3,self,self,match,0,490,mixed
502841139,4,friend,friend,match,0,487,mixed
502841139,5,stranger,self,nonmatch,1,467,mixed
502841139,6,stranger,self,nonmatch,1,502,mixed
502841139,8,stranger,friend,nonmatch,0,472,mixed
502841139,9,friend,friend,match,1,787,mixed
502841139,10,stranger,friend,nonmatch,1,340,mixed
502841139,12,self,friend,nonmatch,0,654,mixed
502841139,13,stranger,self,nonmatch,1,340,mixed
502841139,14,stranger,stranger,match,0,481,mixed
502841139,16,friend,stranger,nonmatch,1,659,mixed
502841139,17,self,self,match,1,484,mixed
502841139,18,friend,friend,match,1,566,mixed
502841139,19,stranger,stranger,match,1,411,mixed
502841139,20,stranger,self,nonmatch,1,491,mixed
502841139,21,friend,stranger,nonmatch,1,618,mixed
502841139,22,friend,friend,match,1,515,mixed
502841139,23,stranger,stranger,match,0,999,mixed
502841139,24,friend,self,nonmatch,1,590,mixed
502841139,25,friend,stranger,nonmatch,1,659,mixed
502841139,26,friend,friend,match,1,550,mixed
502841139,27,self,friend,nonmatch,1,603,mixed
502841139,28,friend,self,nonmatch,1,610,mixed
502841139,29,self,self,match,1,434,mixed
502841139,30,self,stranger,nonmatch,1,475,mixed
502841139,31,stranger,stranger,match,0,622,mixed
502841139,32,self,stranger,nonmatch,0,677,mixed
502841139,33,stranger,stranger,match,0,448,mixed
502841139,34,stranger,stranger,match,1,409,mixed
502841139,35,self,self,match,0,447,mixed
502841139,36,friend,self,nonmatch,1,486,mixed
502841139,37,friend,stranger,nonmatch,1,597,mixed
502841139,38,stranger,stranger,match,1,747,mixed
502841139,39,self,self,match,1,1161,mixed
502841139,40,friend,stranger,nonmatch,1,766,mixed
502841139,41,self,friend,nonmatch,1,1076,mixed
502841139,42,stranger,stranger,match,1,931,mixed
502841139,43,self,self,match,1,827,mixed
502841139,44,stranger,friend,nonmatch,0,985,mixed
502841139,45,self,self,match,1,568,mixed
502841139,46,friend,friend,match,0,347,mixed
502841139,47,stranger,stranger,match,1,374,mixed
502841139,48,self,self,match,0,476,mixed
502841139,50,self,stranger,nonmatch,0,476,mixed
502841139,51,friend,friend,match,1,533,mixed
502841139,52,self,stranger,nonmatch,1,564,mixed
502841139,53,stranger,self,nonmatch,0,548,mixed
502841139,54,stranger,friend,nonmatch,1,640,mixed
502841139,55,friend,friend,match,1,613,mixed
502841139,56,friend,self,nonmatch,0,369,mixed
502841139,57,friend,friend,match,0,311,mixed
502841139,59,self,self,match,1,495,mixed
502841139,60,self,stranger,nonmatch,1,424,mixed
502841139,2,stranger,self,nonmatch,0,320,blocked
502841139,3,stranger,friend,nonmatch,1,325,blocked
502841139,4,stranger,self,nonmatch,1,466,blocked
502841139,5,stranger,stranger,match,0,421,blocked
502841139,6,stranger,self,nonmatch,0,489,blocked
502841139,7,stranger,self,nonmatch,1,249,blocked
502841139,8,stranger,self,nonmatch,1,689,blocked
502841139,9,stranger,friend,nonmatch,0,811,blocked
502841139,10,stranger,friend,nonmatch,1,310,blocked
502841139,11,stranger,stranger,match,0,542,blocked
502841139,12,stranger,stranger,match,1,711,blocked
502841139,13,stranger,stranger,match,1,308,blocked
502841139,14,stranger,friend,nonmatch,1,365,blocked
502841139,15,stranger,stranger,match,1,445,blocked
502841139,16,stranger,self,nonmatch,1,376,blocked
502841139,17,stranger,stranger,match,1,308,blocked
502841139,18,stranger,friend,nonmatch,1,521,blocked
502841139,19,stranger,stranger,match,1,417,blocked
502841139,20,stranger,friend,nonmatch,1,958,blocked
502841139,21,stranger,stranger,match,1,294,blocked
502841139,22,stranger,stranger,match,1,380,blocked
502841139,23,stranger,stranger,match,1,290,blocked
502841139,24,stranger,self,nonmatch,1,232,blocked
502841139,25,stranger,self,nonmatch,1,564,blocked
502841139,26,stranger,stranger,match,1,370,blocked
502841139,27,stranger,self,nonmatch,0,353,blocked
502841139,28,stranger,stranger,match,0,556,blocked
502841139,29,stranger,stranger,match,1,270,blocked
502841139,30,stranger,friend,nonmatch,1,522,blocked
502841139,31,stranger,stranger,match,1,298,blocked
502841139,32,stranger,self,nonmatch,1,551,blocked
502841139,33,stranger,stranger,match,1,391,blocked
502841139,34,stranger,friend,nonmatch,1,483,blocked
502841139,35,stranger,friend,nonmatch,0,232,blocked
502841139,36,stranger,stranger,match,1,355,blocked
502841139,37,stranger,stranger,match,1,314,blocked
502841139,38,stranger,friend,nonmatch,1,522,blocked
502841139,39,stranger,stranger,match,1,351,blocked
502841139,40,stranger,stranger,match,1,415,blocked
502841139,41,stranger,stranger,match,1,280,blocked
502841139,42,stranger,stranger,match,1,311,blocked
502841139,43,stranger,stranger,match,1,361,blocked
502841139,44,stranger,self,nonmatch,1,263,blocked
502841139,45,stranger,stranger,match,1,370,blocked
502841139,46,stranger,stranger,match,1,351,blocked
502841139,47,stranger,self,nonmatch,1,478,blocked
502841139,48,stranger,friend,nonmatch,1,475,blocked
502841139,49,stranger,stranger,match,1,522,blocked
502841139,50,stranger,friend,nonmatch,1,403,blocked
502841139,51,stranger,stranger,match,1,356,blocked
502841139,52,stranger,self,nonmatch,1,333,blocked
502841139,53,stranger,stranger,match,1,366,blocked
502841139,54,stranger,stranger,match,1,266,blocked
502841139,55,stranger,friend,nonmatch,1,379,blocked
502841139,56,stranger,friend,nonmatch,1,369,blocked
502841139,57,stranger,friend,nonmatch,1,412,blocked
502841139,58,stranger,stranger,match,1,477,blocked
502841139,59,stranger,self,nonmatch,1,493,blocked
502841139,60,stranger,stranger,match,1,434,blocked
502841139,1,stranger,stranger,match,1,317,mixed
502841139,2,self,self,match,0,369,mixed
502841139,3,stranger,friend,nonmatch,0,438,mixed
502841139,4,friend,friend,match,1,400,mixed
502841139,5,stranger,self,nonmatch,1,363,mixed
502841139,6,stranger,stranger,match,1,363,mixed
502841139,7,self,stranger,nonmatch,1,1074,mixed
502841139,8,friend,stranger,nonmatch,0,388,mixed
502841139,9,stranger,friend,nonmatch,1,307,mixed
502841139,10,friend,friend,match,1,544,mixed
502841139,11,friend,friend,match,1,302,mixed
502841139,12,friend,friend,match,1,381,mixed
502841139,13,self,self,match,0,404,mixed
502841139,14,stranger,self,nonmatch,1,802,mixed
502841139,15,stranger,stranger,match,0,777,mixed
502841139,16,friend,self,nonmatch,0,1054,mixed
502841139,17,self,self,match,0,387,mixed
502841139,18,self,self,match,1,420,mixed
502841139,19,stranger,self,nonmatch,1,611,mixed
502841139,20,stranger,stranger,match,0,877,mixed
502841139,21,friend,stranger,nonmatch,0,640,mixed
502841139,22,self,friend,nonmatch,1,745,mixed
502841139,23,stranger,stranger,match,1,420,mixed
502841139,24,friend,friend,match,1,627,mixed
502841139,25,self,stranger,nonmatch,1,945,mixed
502841139,26,friend,stranger,nonmatch,1,555,mixed
502841139,27,self,self,match,1,560,mixed
502841139,28,self,friend,nonmatch,1,431,mixed
502841139,29,self,stranger,nonmatch,0,681,mixed
502841139,30,stranger,stranger,match,1,814,mixed
502841139,31,stranger,friend,nonmatch,1,483,mixed
502841139,32,stranger,stranger,match,1,460,mixed
502841139,33,self,stranger,nonmatch,1,563,mixed
502841139,34,friend,self,nonmatch,1,1005,mixed
502841139,35,stranger,friend,nonmatch,1,548,mixed
502841139,36,friend,self,nonmatch,1,516,mixed
502841139,37,stranger,stranger,match,1,437,mixed
502841139,38,stranger,self,nonmatch,1,420,mixed
502841139,39,friend,friend,match,1,695,mixed
502841139,40,friend,friend,match,1,797,mixed
502841139,41,self,self,match,1,613,mixed
502841139,42,friend,friend,match,1,484,mixed
502841139,43,stranger,self,nonmatch,1,422,mixed
502841139,44,friend,friend,match,1,469,mixed
502841139,45,self,stranger,nonmatch,1,434,mixed
502841139,46,friend,stranger,nonmatch,1,822,mixed
502841139,47,self,self,match,1,429,mixed
502841139,48,friend,self,nonmatch,1,513,mixed
502841139,49,friend,friend,match,1,788,mixed
502841139,50,friend,stranger,nonmatch,1,430,mixed
502841139,51,self,self,match,1,495,mixed
502841139,53,self,friend,nonmatch,1,353,mixed
502841139,54,friend,self,nonmatch,1,716,mixed
502841139,55,stranger,stranger,match,1,514,mixed
502841139,56,stranger,stranger,match,1,1047,mixed
502841139,57,self,self,match,1,738,mixed
