Subject,Age,Sex,Arouse.RESP,Valence.RESP,condition,respond3.ACC,respond3.RT,mood,Session
19,19,female,7,4,Familiar-shape_Mismatched,1,533,anxious,S1
19,19,female,7,4,Familiar-shape_Mismatched,1,457,anxious,S1
19,19,female,7,4,Stranger-shape_Matched,0,499,anxious,S1
19,19,female,7,4,Self-shape_Matched,1,383,anxious,S1
19,19,female,7,4,Familiar-shape_Mismatched,1,550,anxious,S1
19,19,female,7,4,Self-shape_Mismatched,1,542,anxious,S1
19,19,female,7,4,Self-shape_Matched,1,545,anxious,S1
19,19,female,7,4,Self-shape_Matched,1,650,anxious,S1
19,19,female,7,4,Stranger-shape_Mismatched,1,598,anxious,S1
19,19,female,7,4,Self-shape_Mismatched,0,426,anxious,S1
19,19,female,7,4,Self-shape_Matched,1,490,anxious,S1
19,19,female,7,4,Familiar-shape_Matched,1,447,anxious,S1
19,19,female,7,4,Stranger-shape_Matched,1,513,anxious,S1
19,19,female,7,4,Familiar-shape_Mismatched,1,477,anxious,S1
19,19,female,7,4,Stranger-shape_Mismatched,1,553,anxious,S1
19,19,female,7,4,Stranger-shape_Mismatched,1,520,anxious,S1
19,19,female,7,4,Familiar-shape_Matched,1,546,anxious,S1
19,19,female,7,4,Stranger-shape_Matched,1,334,anxious,S1
19,19,female,7,4,Familiar-shape_Matched,1,638,anxious,S1
19,19,female,7,4,Familiar-shape_Mismatched,1,459,anxious,S1
19,19,female,7,4,Stranger-shape_Matched,1,442,anxious,S1
19,19,female,7,4,Self-shape_Matched,1,389,anxious,S1
19,19,female,7,4,Stranger-shape_Mismatched,1,471,anxious,S1
19,19,female,7,4,Self-shape_Matched,0,540,anxious,S1
19,19,female,7,4,Stranger-shape_Mismatched,1,576,anxious,S1
19,19,female,7,4,Self-shape_Matched,1,434,anxious,S1
19,19,female,7,4,Stranger-shape_Mismatched,1,617,anxious,S1
19,19,female,7,4,Stranger-shape_Mismatched,1,532,anxious,S1
19,19,female,7,4,Familiar-shape_Mismatched,1,471,anxious,S1
19,19,female,7,4,Self-shape_Mismatched,1,566,anxious,S1
19,19,female,7,4,Self-shape_Mismatched,1,744,anxious,S1
19,19,female,7,4,Stranger-shape_Matched,1,580,anxious,S1
19,19,female,7,4,Self-shape_Mismatched,1,554,anxious,S1
19,19,female,7,4,Self-shape_Mismatched,1,517,anxious,S1
19,19,female,7,4,Familiar-shape_Mismatched,1,407,anxious,S1
19,19,female,7,4,Familiar-shape_Matched,1,479,anxious,S1
19,19,female,7,4,Self-shape_Matched,1,408,anxious,S1
19,19,female,7,4,Self-shape_Mismatched,1,458,anxious,S1
19,19,female,7,4,Familiar-shape_Mismatched,1,596,anxious,S1
19,19,female,7,4,Self-shape_Mismatched,1,514,anxious,S1
19,19,female,7,4,Self-shape_Mismatched,1,463,anxious,S1
19,19,female,7,4,Familiar-shape_Mismatched,1,557,anxious,S1
19,19,female,7,4,Stranger-shape_Mismatched,0,433,anxious,S1
19,19,female,7,4,Familiar-shape_Matched,0,516,anxious,S1
19,19,female,7,4,Stranger-shape_Matched,1,564,anxious,S1
19,19,female,7,4,Stranger-shape_Mismatched,1,401,anxious,S1
19,19,female,7,4,Self-shape_Mismatched,0,522,anxious,S1
19,19,female,7,4,Stranger-shape_Mismatched,1,596,anxious,S1
19,19,female,7,4,Stranger-shape_Mismatched,1,691,anxious,S1
19,19,female,7,4,Self-shape_Matched,1,597,anxious,S1
19,19,female,7,4,Stranger-shape_Mismatched,1,596,anxious,S1
19,19,female,7,4,Familiar-shape_Mismatched,1,510,anxious,S1
19,19,female,7,4,Self-shape_Matched,1,572,anxious,S1
19,19,female,7,4,Self-shape_Matched,1,500,anxious,S1
19,19,female,7,4,Familiar-shape_Matched,1,433,anxious,S1
19,19,female,7,4,Familiar-shape_Mismatched,1,538,anxious,S1
19,19,female,7,4,Self-shape_Mismatched,1,651,anxious,S1
19,19,female,7,4,Familiar-shape_Mismatched,1,408,anxious,S1
19,19,female,7,4,Familiar-shape_Mismatched,1,444,anxious,S1
19,19,female,7,4,Stranger-shape_Mismatched,1,542,anxious,S1
19,19,female,7,4,Familiar-shape_Mismatched,1,478,anxious,S1
19,19,female,7,4,Self-shape_Matched,1,653,anxious,S1
19,19,female,7,4,Self-shape_Matched,1,410,anxious,S1
19,19,female,7,4,Stranger-shape_Matched,1,373,anxious,S1
19,19,female,7,4,Stranger-shape_Mismatched,0,306,anxious,S1
19,19,female,7,4,Self-shape_Mismatched,1,553,anxious,S1
19,19,female,7,4,Familiar-shape_Matched,1,535,anxious,S1
19,19,female,7,4,Stranger-shape_Matched,0,544,anxious,S1
19,19,female,7,4,Stranger-shape_Matched,1,387,anxious,S1
19,19,female,7,4,Self-shape_Mismatched,1,566,anxious,S1
19,19,female,7,4,Stranger-shape_Matched,1,648,anxious,S1
19,19,female,7,4,Familiar-shape_Matched,1,698,anxious,S1
19,19,female,7,4,Self-shape_Mismatched,1,446,anxious,S1
19,19,female,7,4,Stranger-shape_Matched,1,716,anxious,S1
19,19,female,7,4,Familiar-shape_Matched,0,443,anxious,S1
19,19,female,7,4,Self-shape_Matched,1,752,anxious,S1
19,19,female,7,4,Stranger-shape_Matched,1,422,anxious,S1
19,19,female,7,4,Stranger-shape_Mismatched,1,464,anxious,S1
19,19,female,7,4,Self-shape_Matched,1,489,anxious,S1
19,19,female,7,4,Familiar-shape_Mismatched,0,666,anxious,S1
19,19,female,7,4,Familiar-shape_Mismatched,1,520,anxious,S1
19,19,female,7,4,Stranger-shape_Mismatched,0,627,anxious,S1
19,19,female,7,4,Stranger-shape_Mismatched,1,696,anxious,S1
19,19,female,7,4,Self-shape_Matched,1,526,anxious,S1
19,19,female,7,4,Self-shape_Mismatched,0,559,anxious,S1
19,19,female,7,4,Familiar-shape_Mismatched,0,915,anxious,S1
19,19,female,7,4,Familiar-shape_Matched,1,480,anxious,S1
19,19,female,7,4,Stranger-shape_Mismatched,1,515,anxious,S1
19,19,female,7,4,Familiar-shape_Matched,1,413,anxious,S1
19,19,female,7,4,Self-shape_Mismatched,1,504,anxious,S1
19,19,female,7,4,Self-shape_Matched,1,506,anxious,S1
19,19,female,7,4,Familiar-shape_Matched,1,651,anxious,S1
19,19,female,7,4,Stranger-shape_Matched,1,625,anxious,S1
19,19,female,7,4,Stranger-shape_Matched,1,441,anxious,S1
19,19,female,7,4,Familiar-shape_Matched,1,333,anxious,S1
19,19,female,7,4,Familiar-shape_Mismatched,1,400,anxious,S1
19,19,female,7,4,Familiar-shape_Mismatched,1,395,anxious,S1
19,19,female,7,4,Self-shape_Matched,1,309,anxious,S1
19,19,female,7,4,Stranger-shape_Matched,1,455,anxious,S1
19,19,female,7,4,Familiar-shape_Matched,1,552,anxious,S1
19,19,female,7,4,Stranger-shape_Matched,1,600,anxious,S1
19,19,female,7,4,Self-shape_Mismatched,0,384,anxious,S1
19,19,female,7,4,Self-shape_Matched,1,727,anxious,S1
19,19,female,7,4,Stranger-shape_Matched,1,804,anxious,S1
19,19,female,7,4,Self-shape_Mismatched,0,436,anxious,S1
19,19,female,7,4,Familiar-shape_Matched,1,619,anxious,S1
19,19,female,7,4,Familiar-shape_Matched,1,644,anxious,S1
19,19,female,7,4,Stranger-shape_Mismatched,1,428,anxious,S1
17,19,female,7,3,Self-shape_Mismatched,1,408,anxious,S2
17,19,female,7,3,Familiar-shape_Mismatched,1,375,anxious,S2
17,19,female,7,3,Familiar-shape_Mismatched,1,339,anxious,S2
17,19,female,7,3,Familiar-shape_Mismatched,1,253,anxious,S2
17,19,female,7,3,Familiar-shape_Matched,0,233,anxious,S2
17,19,female,7,3,Familiar-shape_Matched,1,522,anxious,S2
17,19,female,7,3,Stranger-shape_Mismatched,1,479,anxious,S2
17,19,female,7,3,Familiar-shape_Mismatched,1,482,anxious,S2
17,19,female,7,3,Stranger-shape_Matched,0,520,anxious,S2
17,19,female,7,3,Stranger-shape_Matched,1,551,anxious,S2
17,19,female,7,3,Stranger-shape_Matched,1,464,anxious,S2
17,19,female,7,3,Familiar-shape_Matched,1,527,anxious,S2
17,19,female,7,3,Familiar-shape_Matched,0,426,anxious,S2
17,19,female,7,3,Self-shape_Mismatched,1,741,anxious,S2
17,19,female,7,3,Self-shape_Matched,1,452,anxious,S2
17,19,female,7,3,Familiar-shape_Matched,0,355,anxious,S2
17,19,female,7,3,Self-shape_Mismatched,1,644,anxious,S2
17,19,female,7,3,Familiar-shape_Matched,1,548,anxious,S2
17,19,female,7,3,Self-shape_Mismatched,1,471,anxious,S2
17,19,female,7,3,Stranger-shape_Matched,0,420,anxious,S2
17,19,female,7,3,Stranger-shape_Matched,1,411,anxious,S2
17,19,female,7,3,Stranger-shape_Mismatched,1,437,anxious,S2
17,19,female,7,3,Familiar-shape_Matched,1,566,anxious,S2
17,19,female,7,3,Stranger-shape_Mismatched,1,418,anxious,S2
17,19,female,7,3,Familiar-shape_Mismatched,1,557,anxious,S2
17,19,female,7,3,Stranger-shape_Mismatched,1,569,anxious,S2
17,19,female,7,3,Familiar-shape_Matched,1,411,anxious,S2
17,19,female,7,3,Self-shape_Matched,1,433,anxious,S2
17,19,female,7,3,Self-shape_Matched,1,279,anxious,S2
17,19,female,7,3,Self-shape_Mismatched,1,339,anxious,S2
17,19,female,7,3,Self-shape_Matched,1,366,anxious,S2
17,19,female,7,3,Stranger-shape_Mismatched,1,414,anxious,S2
17,19,female,7,3,Self-shape_Mismatched,1,557,anxious,S2
17,19,female,7,3,Familiar-shape_Mismatched,1,429,anxious,S2
17,19,female,7,3,Stranger-shape_Mismatched,1,408,anxious,S2
17,19,female,7,3,Self-shape_Mismatched,1,471,anxious,S2
17,19,female,7,3,Stranger-shape_Mismatched,1,486,anxious,S2
17,19,female,7,3,Stranger-shape_Mismatched,1,271,anxious,S2
17,19,female,7,3,Familiar-shape_Matched,1,464,anxious,S2
17,19,female,7,3,Self-shape_Matched,1,361,anxious,S2
17,19,female,7,3,Stranger-shape_Mismatched,1,360,anxious,S2
17,19,female,7,3,Familiar-shape_Matched,1,444,anxious,S2
17,19,female,7,3,Stranger-shape_Mismatched,1,370,anxious,S2
17,19,female,7,3,Self-shape_Matched,1,305,anxious,S2
17,19,female,7,3,Familiar-shape_Mismatched,1,362,anxious,S2
17,19,female,7,3,Stranger-shape_Mismatched,1,452,anxious,S2
17,19,female,7,3,Stranger-shape_Matched,0,256,anxious,S2
17,19,female,7,3,Familiar-shape_Matched,0,480,anxious,S2
17,19,female,7,3,Familiar-shape_Matched,1,409,anxious,S2
17,19,female,7,3,Self-shape_Mismatched,1,471,anxious,S2
17,19,female,7,3,Stranger-shape_Matched,1,460,anxious,S2
17,19,female,7,3,Stranger-shape_Matched,1,275,anxious,S2
17,19,female,7,3,Self-shape_Matched,1,409,anxious,S2
17,19,female,7,3,Self-shape_Matched,1,222,anxious,S2
17,19,female,7,3,Familiar-shape_Mismatched,1,447,anxious,S2
17,19,female,7,3,Self-shape_Matched,1,255,anxious,S2
17,19,female,7,3,Self-shape_Matched,1,229,anxious,S2
17,19,female,7,3,Self-shape_Matched,1,225,anxious,S2
17,19,female,7,3,Stranger-shape_Matched,0,387,anxious,S2
17,19,female,7,3,Familiar-shape_Mismatched,1,368,anxious,S2
17,19,female,7,3,Stranger-shape_Matched,0,431,anxious,S2
17,19,female,7,3,Self-shape_Mismatched,0,387,anxious,S2
17,19,female,7,3,Familiar-shape_Mismatched,1,522,anxious,S2
17,19,female,7,3,Stranger-shape_Mismatched,1,402,anxious,S2
17,19,female,7,3,Stranger-shape_Matched,1,495,anxious,S2
17,19,female,7,3,Stranger-shape_Matched,1,360,anxious,S2
17,19,female,7,3,Self-shape_Mismatched,1,444,anxious,S2
17,19,female,7,3,Familiar-shape_Mismatched,1,496,anxious,S2
17,19,female,7,3,Self-shape_Matched,1,379,anxious,S2
17,19,female,7,3,Self-shape_Mismatched,1,419,anxious,S2
17,19,female,7,3,Familiar-shape_Mismatched,1,657,anxious,S2
17,19,female,7,3,Self-shape_Mismatched,1,502,anxious,S2
17,19,female,7,3,Self-shape_Mismatched,1,477,anxious,S2
17,19,female,7,3,Familiar-shape_Matched,1,488,anxious,S2
17,19,female,7,3,Self-shape_Mismatched,1,464,anxious,S2
17,19,female,7,3,Stranger-shape_Matched,1,464,anxious,S2
17,19,female,7,3,Self-shape_Matched,1,332,anxious,S2
17,19,female,7,3,Familiar-shape_Matched,1,461,anxious,S2
17,19,female,7,3,Stranger-shape_Mismatched,1,490,anxious,S2
17,19,female,7,3,Self-shape_Matched,1,359,anxious,S2
17,19,female,7,3,Stranger-shape_Mismatched,1,483,anxious,S2
17,19,female,7,3,Familiar-shape_Mismatched,0,580,anxious,S2
17,19,female,7,3,Stranger-shape_Matched,0,382,anxious,S2
17,19,female,7,3,Self-shape_Mismatched,1,492,anxious,S2
17,19,female,7,3,Familiar-shape_Matched,1,461,anxious,S2
17,19,female,7,3,Self-shape_Mismatched,1,356,anxious,S2
17,19,female,7,3,Self-shape_Mismatched,1,499,anxious,S2
17,19,female,7,3,Familiar-shape_Matched,1,421,anxious,S2
17,19,female,7,3,Familiar-shape_Mismatched,1,464,anxious,S2
17,19,female,7,3,Familiar-shape_Mismatched,1,266,anxious,S2
17,19,female,7,3,Self-shape_Mismatched,1,403,anxious,S2
17,19,female,7,3,Self-shape_Matched,1,400,anxious,S2
17,19,female,7,3,Familiar-shape_Matched,1,544,anxious,S2
17,19,female,7,3,Familiar-shape_Mismatched,1,572,anxious,S2
17,19,female,7,3,Familiar-shape_Mismatched,0,432,anxious,S2
17,19,female,7,3,Stranger-shape_Matched,0,296,anxious,S2
17,19,female,7,3,Stranger-shape_Matched,1,673,anxious,S2
17,19,female,7,3,Familiar-shape_Matched,1,440,anxious,S2
17,19,female,7,3,Stranger-shape_Matched,1,417,anxious,S2
17,19,female,7,3,Familiar-shape_Mismatched,0,266,anxious,S2
17,19,female,7,3,Self-shape_Mismatched,1,429,anxious,S2
17,19,female,7,3,Self-shape_Mismatched,0,413,anxious,S2
17,19,female,7,3,Stranger-shape_Matched,0,540,anxious,S2
17,19,female,7,3,Stranger-shape_Matched,1,434,anxious,S2
17,19,female,7,3,Self-shape_Mismatched,1,438,anxious,S2
17,19,female,7,3,Familiar-shape_Matched,1,397,anxious,S2
17,19,female,7,3,Familiar-shape_Mismatched,1,464,anxious,S2
17,19,female,7,3,Stranger-shape_Matched,0,450,anxious,S2
17,19,female,7,3,Stranger-shape_Mismatched,1,481,anxious,S2
17,19,female,7,3,Stranger-shape_Matched,1,469,anxious,S2
17,19,female,7,3,Stranger-shape_Mismatched,1,447,anxious,S2
17,19,female,7,3,Self-shape_Matched,1,349,anxious,S2
17,19,female,7,3,Self-shape_Matched,1,301,anxious,S2
17,19,female,7,3,Stranger-shape_Matched,0,380,anxious,S2
17,19,female,7,3,Self-shape_Matched,1,464,anxious,S2
17,19,female,7,3,Self-shape_Matched,1,376,anxious,S2
17,19,female,7,3,Self-shape_Matched,1,230,anxious,S2
17,19,female,7,3,Stranger-shape_Matched,1,383,anxious,S2
17,19,female,7,3,Stranger-shape_Mismatched,0,250,anxious,S2
17,19,female,7,3,Self-shape_Matched,1,327,anxious,S2
17,19,female,7,3,Stranger-shape_Mismatched,1,447,anxious,S2
17,19,female,7,3,Stranger-shape_Matched,0,313,anxious,S2
17,19,female,7,3,Familiar-shape_Mismatched,1,537,anxious,S2
17,19,female,7,3,Familiar-shape_Matched,1,430,anxious,S2
17,19,female,7,3,Self-shape_Matched,1,357,anxious,S2
17,19,female,7,3,Familiar-shape_Matched,1,503,anxious,S2
17,19,female,7,3,Stranger-shape_Mismatched,1,488,anxious,S2
17,19,female,7,3,Familiar-shape_Matched,1,342,anxious,S2
17,19,female,7,3,Self-shape_Mismatched,1,598,anxious,S2
17,19,female,7,3,Familiar-shape_Matched,1,453,anxious,S2
17,19,female,7,3,Familiar-shape_Mismatched,1,433,anxious,S2
17,19,female,7,3,Stranger-shape_Mismatched,0,517,anxious,S2
17,19,female,7,3,Familiar-shape_Mismatched,1,545,anxious,S2
17,19,female,7,3,Familiar-shape_Mismatched,1,404,anxious,S2
17,19,female,7,3,Familiar-shape_Mismatched,1,346,anxious,S2
17,19,female,7,3,Stranger-shape_Mismatched,1,467,anxious,S2
17,19,female,7,3,Stranger-shape_Mismatched,1,364,anxious,S2
17,19,female,7,3,Self-shape_Mismatched,1,482,anxious,S2
17,19,female,7,3,Stranger-shape_Mismatched,1,392,anxious,S2
17,19,female,7,3,Self-shape_Matched,1,434,anxious,S2
17,19,female,7,3,Self-shape_Mismatched,1,387,anxious,S2
17,19,female,7,3,Familiar-shape_Matched,1,430,anxious,S2
17,19,female,7,3,Self-shape_Matched,0,389,anxious,S2
17,19,female,7,3,Stranger-shape_Mismatched,1,506,anxious,S2
20,18,female,5,5,Self-shape_Mismatched,1,652,anxious,S2
20,18,female,5,5,Self-shape_Matched,1,547,anxious,S2
20,18,female,5,5,Stranger-shape_Matched,1,554,anxious,S2
20,18,female,5,5,Familiar-shape_Mismatched,1,716,anxious,S2
20,18,female,5,5,Stranger-shape_Mismatched,1,578,anxious,S2
20,18,female,5,5,Stranger-shape_Matched,1,726,anxious,S2
20,18,female,5,5,Familiar-shape_Matched,1,716,anxious,S2
20,18,female,5,5,Self-shape_Mismatched,1,912,anxious,S2
20,18,female,5,5,Self-shape_Matched,1,576,anxious,S2
20,18,female,5,5,Stranger-shape_Matched,1,837,anxious,S2
20,18,female,5,5,Self-shape_Matched,1,855,anxious,S2
20,18,female,5,5,Self-shape_Matched,1,565,anxious,S2
20,18,female,5,5,Familiar-shape_Mismatched,1,624,anxious,S2
20,18,female,5,5,Familiar-shape_Mismatched,1,531,anxious,S2
20,18,female,5,5,Familiar-shape_Matched,1,559,anxious,S2
20,18,female,5,5,Familiar-shape_Mismatched,1,829,anxious,S2
20,18,female,5,5,Stranger-shape_Matched,1,660,anxious,S2
20,18,female,5,5,Self-shape_Matched,1,518,anxious,S2
20,18,female,5,5,Familiar-shape_Matched,1,517,anxious,S2
20,18,female,5,5,Stranger-shape_Matched,1,532,anxious,S2
20,18,female,5,5,Self-shape_Matched,1,467,anxious,S2
20,18,female,5,5,Self-shape_Mismatched,1,682,anxious,S2
20,18,female,5,5,Self-shape_Mismatched,1,522,anxious,S2
20,18,female,5,5,Familiar-shape_Mismatched,1,709,anxious,S2
20,18,female,5,5,Stranger-shape_Matched,1,922,anxious,S2
20,18,female,5,5,Stranger-shape_Mismatched,1,639,anxious,S2
20,18,female,5,5,Familiar-shape_Matched,1,698,anxious,S2
20,18,female,5,5,Familiar-shape_Mismatched,1,496,anxious,S2
20,18,female,5,5,Stranger-shape_Matched,1,756,anxious,S2
20,18,female,5,5,Stranger-shape_Matched,1,519,anxious,S2
20,18,female,5,5,Stranger-shape_Mismatched,1,633,anxious,S2
20,18,female,5,5,Familiar-shape_Matched,1,598,anxious,S2
20,18,female,5,5,Stranger-shape_Matched,1,632,anxious,S2
20,18,female,5,5,Familiar-shape_Matched,1,706,anxious,S2
20,18,female,5,5,Stranger-shape_Mismatched,1,559,anxious,S2
20,18,female,5,5,Familiar-shape_Matched,1,459,anxious,S2
20,18,female,5,5,Familiar-shape_Matched,1,668,anxious,S2
20,18,female,5,5,Familiar-shape_Matched,1,378,anxious,S2
20,18,female,5,5,Self-shape_Mismatched,1,576,anxious,S2
20,18,female,5,5,Self-shape_Mismatched,0,650,anxious,S2
20,18,female,5,5,Stranger-shape_Mismatched,1,894,anxious,S2
20,18,female,5,5,Familiar-shape_Mismatched,1,542,anxious,S2
20,18,female,5,5,Stranger-shape_Mismatched,1,650,anxious,S2
20,18,female,5,5,Self-shape_Matched,1,458,anxious,S2
20,18,female,5,5,Stranger-shape_Mismatched,1,435,anxious,S2
20,18,female,5,5,Stranger-shape_Matched,1,798,anxious,S2
20,18,female,5,5,Self-shape_Matched,0,616,anxious,S2
20,18,female,5,5,Self-shape_Matched,1,524,anxious,S2
20,18,female,5,5,Familiar-shape_Mismatched,1,427,anxious,S2
20,18,female,5,5,Stranger-shape_Mismatched,1,625,anxious,S2
20,18,female,5,5,Self-shape_Matched,1,474,anxious,S2
20,18,female,5,5,Stranger-shape_Matched,0,674,anxious,S2
20,18,female,5,5,Stranger-shape_Matched,0,604,anxious,S2
20,18,female,5,5,Self-shape_Mismatched,1,697,anxious,S2
20,18,female,5,5,Stranger-shape_Mismatched,1,682,anxious,S2
20,18,female,5,5,Stranger-shape_Mismatched,1,644,anxious,S2
20,18,female,5,5,Familiar-shape_Mismatched,1,607,anxious,S2
20,18,female,5,5,Self-shape_Matched,1,494,anxious,S2
20,18,female,5,5,Self-shape_Mismatched,1,591,anxious,S2
20,18,female,5,5,Familiar-shape_Matched,1,576,anxious,S2
20,18,female,5,5,Self-shape_Mismatched,1,569,anxious,S2
20,18,female,5,5,Self-shape_Mismatched,1,651,anxious,S2
20,18,female,5,5,Familiar-shape_Matched,1,557,anxious,S2
20,18,female,5,5,Stranger-shape_Mismatched,1,627,anxious,S2
20,18,female,5,5,Familiar-shape_Mismatched,1,581,anxious,S2
20,18,female,5,5,Self-shape_Matched,1,587,anxious,S2
20,18,female,5,5,Stranger-shape_Mismatched,1,601,anxious,S2
20,18,female,5,5,Self-shape_Mismatched,1,605,anxious,S2
20,18,female,5,5,Familiar-shape_Matched,1,515,anxious,S2
20,18,female,5,5,Self-shape_Mismatched,1,720,anxious,S2
20,18,female,5,5,Familiar-shape_Matched,1,711,anxious,S2
20,18,female,5,5,Stranger-shape_Matched,1,704,anxious,S2
20,18,female,5,5,Stranger-shape_Mismatched,1,638,anxious,S2
20,18,female,5,5,Self-shape_Matched,1,660,anxious,S2
20,18,female,5,5,Stranger-shape_Mismatched,1,464,anxious,S2
20,18,female,5,5,Stranger-shape_Matched,0,547,anxious,S2
20,18,female,5,5,Familiar-shape_Mismatched,1,468,anxious,S2
20,18,female,5,5,Familiar-shape_Matched,1,599,anxious,S2
20,18,female,5,5,Self-shape_Matched,1,490,anxious,S2
20,18,female,5,5,Stranger-shape_Mismatched,1,636,anxious,S2
20,18,female,5,5,Self-shape_Matched,1,538,anxious,S2
20,18,female,5,5,Self-shape_Matched,1,425,anxious,S2
20,18,female,5,5,Familiar-shape_Matched,1,550,anxious,S2
20,18,female,5,5,Stranger-shape_Mismatched,0,505,anxious,S2
20,18,female,5,5,Self-shape_Mismatched,1,716,anxious,S2
20,18,female,5,5,Stranger-shape_Matched,1,585,anxious,S2
20,18,female,5,5,Familiar-shape_Mismatched,1,995,anxious,S2
20,18,female,5,5,Self-shape_Matched,1,477,anxious,S2
20,18,female,5,5,Familiar-shape_Matched,1,516,anxious,S2
20,18,female,5,5,Familiar-shape_Mismatched,1,721,anxious,S2
20,18,female,5,5,Familiar-shape_Matched,1,451,anxious,S2
20,18,female,5,5,Stranger-shape_Mismatched,0,491,anxious,S2
20,18,female,5,5,Self-shape_Mismatched,1,605,anxious,S2
20,18,female,5,5,Stranger-shape_Matched,1,645,anxious,S2
20,18,female,5,5,Stranger-shape_Matched,1,488,anxious,S2
20,18,female,5,5,Familiar-shape_Mismatched,1,517,anxious,S2
20,18,female,5,5,Self-shape_Matched,1,627,anxious,S2
20,18,female,5,5,Familiar-shape_Mismatched,1,596,anxious,S2
20,18,female,5,5,Self-shape_Matched,1,484,anxious,S2
20,18,female,5,5,Familiar-shape_Matched,1,593,anxious,S2
20,18,female,5,5,Familiar-shape_Mismatched,1,629,anxious,S2
20,18,female,5,5,Self-shape_Mismatched,1,719,anxious,S2
20,18,female,5,5,Familiar-shape_Matched,1,489,anxious,S2
20,18,female,5,5,Self-shape_Matched,1,567,anxious,S2
20,18,female,5,5,Stranger-shape_Mismatched,1,836,anxious,S2
20,18,female,5,5,Stranger-shape_Matched,1,916,anxious,S2
20,18,female,5,5,Stranger-shape_Matched,1,486,anxious,S2
20,18,female,5,5,Familiar-shape_Matched,0,467,anxious,S2
20,18,female,5,5,Self-shape_Mismatched,1,704,anxious,S2
20,18,female,5,5,Stranger-shape_Matched,1,631,anxious,S2
20,18,female,5,5,Familiar-shape_Mismatched,1,748,anxious,S2
20,18,female,5,5,Familiar-shape_Mismatched,1,559,anxious,S2
20,18,female,5,5,Familiar-shape_Matched,1,514,anxious,S2
20,18,female,5,5,Familiar-shape_Matched,1,591,anxious,S2
20,18,female,5,5,Stranger-shape_Mismatched,1,872,anxious,S2
20,18,female,5,5,Self-shape_Mismatched,1,603,anxious,S2
20,18,female,5,5,Self-shape_Mismatched,1,546,anxious,S2
20,18,female,5,5,Self-shape_Matched,1,591,anxious,S2
20,18,female,5,5,Self-shape_Mismatched,1,579,anxious,S2
20,18,female,5,5,Stranger-shape_Matched,1,521,anxious,S2
20,18,female,5,5,Self-shape_Matched,1,524,anxious,S2
20,18,female,5,5,Stranger-shape_Mismatched,1,913,anxious,S2
20,18,female,5,5,Self-shape_Mismatched,0,821,anxious,S2
20,18,female,5,5,Stranger-shape_Mismatched,1,811,anxious,S2
20,18,female,5,5,Stranger-shape_Mismatched,1,708,anxious,S2
20,18,female,5,5,Familiar-shape_Mismatched,1,719,anxious,S2
20,18,female,5,5,Familiar-shape_Mismatched,1,530,anxious,S2
20,18,female,5,5,Self-shape_Matched,1,459,anxious,S2
