Subject,Age,Handedness,condition1correct,condition1level,Sex,respond3.ACC,respond3.RT
1,19,right,Familiar-shape_Mismatched,No cue,female,1,627
1,19,right,Self-shape_Mismatched,No cue,female,1,509
1,19,right,Self-shape_Mismatched,Alter cue,female,1,461
1,19,right,Self-shape_Mismatched,No cue,female,1,435
1,19,right,Familiar-shape_Mismatched,Alter cue,female,1,461
1,19,right,Familiar-shape_Matched,Alter cue,female,1,491
1,19,right,Self-shape_Mismatched,Alter cue,female,1,389
1,19,right,Familiar-shape_Matched,Alter cue,female,0,332
1,19,right,Familiar-shape_Mismatched,Alter cue,female,1,625
1,19,right,Self-shape_Mismatched,No cue,female,1,525
1,19,right,Self-shape_Matched,Alter cue,female,1,348
1,19,right,Self-shape_Mismatched,No cue,female,1,419
1,19,right,Self-shape_Mismatched,Alter cue,female,1,355
1,19,right,Familiar-shape_Matched,Alter cue,female,1,541
1,19,right,Self-shape_Mismatched,No cue,female,1,415
1,19,right,Familiar-shape_Mismatched,No cue,female,0,456
1,19,right,Self-shape_Mismatched,No cue,female,1,456
1,19,right,Self-shape_Matched,Alter cue,female,1,491
1,19,right,Familiar-shape_Matched,Alter cue,female,1,568
1,19,right,Familiar-shape_Matched,No cue,female,1,693
1,19,right,Familiar-shape_Matched,Alter cue,female,1,538
1,19,right,Familiar-shape_Mismatched,No cue,female,1,602
1,19,right,Familiar-shape_Matched,Alter cue,female,1,656
1,19,right,Familiar-shape_Matched,No cue,female,1,368
1,19,right,Self-shape_Matched,Alter cue,female,0,381
1,19,right,Familiar-shape_Matched,Alter cue,female,1,495
1,19,right,Familiar-shape_Mismatched,No cue,female,1,531
1,19,right,Familiar-shape_Matched,No cue,female,1,628
1,19,right,Self-shape_Matched,No cue,female,1,453
1,19,right,Familiar-shape_Matched,No cue,female,1,661
1,19,right,Familiar-shape_Matched,Alter cue,female,1,288
1,19,right,Self-shape_Mismatched,No cue,female,1,405
1,19,right,Self-shape_Matched,No cue,female,1,493
1,19,right,Self-shape_Mismatched,Alter cue,female,0,361
1,19,right,Familiar-shape_Matched,Alter cue,female,1,549
1,19,right,Self-shape_Mismatched,Alter cue,female,1,673
1,19,right,Familiar-shape_Mismatched,No cue,female,1,342
1,19,right,Self-shape_Matched,No cue,female,1,382
1,19,right,Self-shape_Mismatched,No cue,female,1,541
1,19,right,Familiar-shape_Mismatched,Alter cue,female,0,401
1,19,right,Familiar-shape_Matched,No cue,female,0,472
1,19,right,Familiar-shape_Matched,Alter cue,female,1,508
1,19,right,Familiar-shape_Matched,No cue,female,1,559
1,19,right,Familiar-shape_Matched,No cue,female,1,379
1,19,right,Familiar-shape_Matched,No cue,female,1,250
1,19,right,Self-shape_Matched,Alter cue,female,0,297
1,19,right,Familiar-shape_Mismatched,No cue,female,0,457
1,19,right,Familiar-shape_Matched,Alter cue,female,1,507
1,19,right,Familiar-shape_Matched,No cue,female,1,433
1,19,right,Self-shape_Matched,No cue,female,1,572
1,19,right,Self-shape_Mismatched,No cue,female,1,891
8,17,right,Self-shape_Matched,No cue,female,1,494
8,17,right,Self-shape_Matched,Alter cue,female,1,960
8,17,right,Familiar-shape_Matched,Alter cue,female,0,618
8,17,right,Self-shape_Matched,No cue,female,1,360
8,17,right,Familiar-shape_Matched,No cue,female,1,871
8,17,right,Self-shape_Mismatched,Alter cue,female,1,677
8,17,right,Self-shape_Matched,Alter cue,female,1,822
8,17,right,Familiar-shape_Mismatched,No cue,female,1,805
8,17,right,Self-shape_Mismatched,No cue,female,0,589
8,17,right,Familiar-shape_Matched,Alter cue,female,1,648
8,17,right,Self-shape_Mismatched,No cue,female,0,856
8,17,right,Familiar-shape_Matched,Alter cue,female,0,733
8,17,right,Self-shape_Matched,No cue,female,1,469
8,17,right,Familiar-shape_Mismatched,No cue,female,1,619
8,17,right,Familiar-shape_Matched,No cue,female,1,703
8,17,right,Familiar-shape_Mismatched,Alter cue,female,1,557
8,17,right,Familiar-shape_Matched,No cue,female,1,850
8,17,right,Familiar-shape_Mismatched,Alter cue,female,1,840
8,17,right,Familiar-shape_Mismatched,Alter cue,female,1,676
8,17,right,Familiar-shape_Matched,No cue,female,1,677
8,17,right,Self-shape_Matched,Alter cue,female,1,433
8,17,right,Familiar-shape_Matched,No cue,female,1,352
8,17,right,Self-shape_Matched,No cue,female,1,404
8,17,right,Self-shape_Matched,Alter cue,female,1,402
8,17,right,Familiar-shape_Matched,No cue,female,1,559
8,17,right,Self-shape_Matched,Alter cue,female,1,549
8,17,right,Self-shape_Matched,Alter cue,female,1,304
8,17,right,Self-shape_Mismatched,No cue,female,0,514
8,17,right,Self-shape_Mismatched,No cue,female,1,925
8,17,right,Familiar-shape_Mismatched,No cue,female,1,643
8,17,right,Self-shape_Matched,Alter cue,female,1,687
8,17,right,Self-shape_Mismatched,Alter cue,female,0,727
8,17,right,Self-shape_Mismatched,No cue,female,1,874
8,17,right,Familiar-shape_Matched,No cue,female,1,462
8,17,right,Familiar-shape_Matched,No cue,female,1,461
8,17,right,Self-shape_Matched,No cue,female,1,587
8,17,right,Familiar-shape_Mismatched,No cue,female,1,718
8,17,right,Familiar-shape_Mismatched,No cue,female,1,725
8,17,right,Self-shape_Mismatched,Alter cue,female,1,974
8,17,right,Self-shape_Mismatched,No cue,female,1,992
8,17,right,Familiar-shape_Matched,Alter cue,female,1,990
8,17,right,Self-shape_Matched,No cue,female,1,429
8,17,right,Self-shape_Mismatched,Alter cue,female,1,590
8,17,right,Self-shape_Matched,No cue,female,1,757
8,17,right,Familiar-shape_Mismatched,No cue,female,1,623
8,17,right,Familiar-shape_Matched,No cue,female,1,744
8,17,right,Self-shape_Mismatched,Alter cue,female,1,726
8,17,right,Self-shape_Mismatched,Alter cue,female,1,815
8,17,right,Familiar-shape_Matched,Alter cue,female,1,581
8,17,right,Self-shape_Matched,No cue,female,1,661
8,17,right,Self-shape_Matched,No cue,female,1,561
8,17,right,Familiar-shape_Matched,Alter cue,female,0,513
8,17,right,Familiar-shape_Mismatched,No cue,female,1,670
8,17,right,Self-shape_Matched,Alter cue,female,1,549
8,17,right,Self-shape_Mismatched,No cue,female,1,955
8,17,right,Self-shape_Matched,No cue,female,1,556
8,17,right,Familiar-shape_Matched,No cue,female,1,986
8,17,right,Self-shape_Matched,Alter cue,female,1,720
8,17,right,Self-shape_Matched,No cue,female,1,767
8,17,right,Familiar-shape_Mismatched,No cue,female,1,579
8,17,right,Familiar-shape_Matched,No cue,female,1,604
8,17,right,Self-shape_Mismatched,No cue,female,1,807
8,17,right,Familiar-shape_Matched,Alter cue,female,1,537
8,17,right,Self-shape_Matched,No cue,female,1,561
8,17,right,Self-shape_Matched,Alter cue,female,1,328
8,17,right,Self-shape_Matched,Alter cue,female,1,327
8,17,right,Familiar-shape_Matched,Alter cue,female,1,600
8,17,right,Self-shape_Matched,Alter cue,female,1,707
8,17,right,Self-shape_Matched,No cue,female,1,606
8,17,right,Self-shape_Mismatched,No cue,female,1,863
8,17,right,Familiar-shape_Mismatched,No cue,female,0,718
8,17,right,Self-shape_Mismatched,No cue,female,1,682
8,17,right,Self-shape_Mismatched,No cue,female,0,776
8,17,right,Self-shape_Matched,Alter cue,female,1,515
8,17,right,Self-shape_Matched,Alter cue,female,1,425
8,17,right,Self-shape_Mismatched,Alter cue,female,0,610
8,17,right,Self-shape_Matched,Alter cue,female,1,477
8,17,right,Familiar-shape_Mismatched,No cue,female,1,640
8,17,right,Self-shape_Matched,Alter cue,female,1,645
8,17,right,Familiar-shape_Mismatched,No cue,female,1,762
8,17,right,Familiar-shape_Mismatched,No cue,female,1,732
8,17,right,Self-shape_Matched,Alter cue,female,1,504
8,17,right,Familiar-shape_Matched,Alter cue,female,1,912
8,17,right,Familiar-shape_Mismatched,Alter cue,female,1,618
