Participant #,Trial Type,Expectancy,Shape Association,Target Accuracy,Response Time
16,Matching,Self,Friend,1,583
16,Matching,Self,Self,1,525
16,Nonmatching,Self,Self,1,557
16,Nonmatching,Self,Self,1,663
16,Nonmatching,Self,Self,1,420
16,Matching,Self,Self,1,506
16,Matching,Self,Friend,1,595
16,Nonmatching,Self,Self,0,434
16,Nonmatching,Self,Self,1,629
16,Matching,Self,Self,1,523
16,Matching,Self,Friend,1,561
16,Nonmatching,Self,Self,1,620
16,Nonmatching,Self,Friend,0,636
16,Nonmatching,Self,Self,1,1047
16,Nonmatching,Self,Self,1,428
16,Nonmatching,Self,Self,1,463
16,Matching,Self,Self,1,494
16,Matching,Self,Friend,1,550
16,Matching,Self,Self,1,613
16,Matching,Self,Self,1,409
16,Nonmatching,Self,Self,1,438
16,Matching,Self,Self,1,593
16,Nonmatching,Self,Self,1,506
16,Matching,Self,Self,1,593
16,Nonmatching,Self,Self,1,580
16,Nonmatching,Self,Self,1,524
16,Matching,Self,Self,1,528
16,Matching,Self,Friend,1,626
16,Nonmatching,Self,Self,1,681
16,Matching,Self,Self,1,563
16,Matching,Self,Self,1,357
16,Nonmatching,Self,Friend,0,303
16,Matching,Self,Friend,1,842
16,Matching,Self,Self,1,555
16,Matching,Self,Self,1,517
16,Nonmatching,Self,Friend,1,604
16,Nonmatching,Self,Self,1,1009
16,Matching,Self,Self,1,604
16,Matching,Self,Friend,1,549
16,Matching,Self,Self,1,632
16,Matching,Self,Self,1,384
16,Nonmatching,Self,Self,1,473
16,Matching,Self,Self,1,518
16,Matching,Self,Friend,1,511
16,Nonmatching,Self,Self,1,1122
16,Nonmatching,Self,Friend,1,830
16,Nonmatching,Self,Self,1,714
16,Nonmatching,Self,Self,1,448
16,Nonmatching,Self,Self,1,430
16,Matching,Self,Self,1,604
16,Matching,Self,Friend,1,612
16,Matching,Self,Self,1,545
16,Matching,Self,Self,1,400
16,Matching,Self,Self,1,439
16,Nonmatching,Self,Self,1,564
16,Matching,Self,Self,1,614
16,Matching,Self,Self,1,473
16,Matching,Self,Self,1,363
16,Nonmatching,Self,Self,1,447
16,Matching,Self,Self,1,472
16,Matching,Self,Self,1,314
16,Matching,Self,Self,1,328
16,Matching,Self,Self,1,325
16,Matching,Self,Self,1,320
16,Matching,Self,Friend,0,468
16,Matching,Self,Self,1,592
16,Nonmatching,Self,Friend,1,807
16,Nonmatching,Self,Self,1,758
16,Matching,Self,Self,1,523
16,Nonmatching,Self,Friend,0,543
16,Matching,Self,Self,1,451
16,Nonmatching,Self,Self,1,1147
16,Nonmatching,Self,Self,1,709
16,Nonmatching,Self,Self,1,389
16,Nonmatching,Self,Self,1,371
16,Matching,Self,Self,1,500
16,Matching,Self,Self,1,371
16,Nonmatching,Self,Self,1,539
16,Matching,Self,Self,1,591
16,Nonmatching,Self,Self,0,424
16,Nonmatching,Self,Self,1,778
16,Nonmatching,Self,Self,1,545
16,Matching,Self,Self,1,506
16,Nonmatching,Self,Self,1,507
16,Matching,Self,Self,1,428
16,Nonmatching,Self,Friend,1,950
16,Matching,Self,Friend,1,788
16,Matching,Self,Friend,1,892
16,Matching,Self,Self,1,531
16,Matching,Self,Self,1,361
16,Matching,Self,Friend,1,863
16,Nonmatching,Self,Friend,1,657
16,Nonmatching,Self,Self,1,1012
16,Nonmatching,Self,Self,1,652
16,Matching,Self,Self,1,622
16,Matching,Self,Self,1,329
16,Matching,Self,Self,1,287
16,Matching,Self,Self,1,303
16,Nonmatching,Self,Self,1,531
16,Nonmatching,Self,Self,1,401
16,Nonmatching,Self,Self,1,377
16,Nonmatching,Self,Friend,1,1045
16,Matching,Self,Self,1,512
16,Nonmatching,Self,Self,1,666
16,Matching,Self,Friend,0,527
16,Matching,Self,Self,1,780
16,Matching,Self,Self,1,334
16,Matching,Self,Friend,1,622
16,Matching,Self,Self,1,461
16,Nonmatching,Self,Self,1,669
16,Matching,Self,Self,1,533
16,Nonmatching,Self,Self,1,624
16,Matching,Self,Self,1,434
16,Matching,Self,Self,1,405
16,Nonmatching,Self,Friend,0,264
16,Matching,Self,Self,1,597
16,Nonmatching,Self,Self,1,639
16,Nonmatching,Self,Friend,0,567
16,Nonmatching,Self,Friend,1,960
16,Nonmatching,Self,Self,1,808
16,Matching,Self,Self,1,526
16,Nonmatching,Self,Self,1,689
16,Nonmatching,Self,Self,1,517
16,Nonmatching,Self,Self,1,456
16,Nonmatching,Self,Self,1,418
16,Matching,Self,Self,1,468
16,Nonmatching,Self,Self,1,519
16,Nonmatching,Self,Friend,1,1050
16,Matching,Self,Friend,1,622
16,Matching,Self,Friend,1,489
16,Nonmatching,Self,Self,1,719
16,Matching,Self,Self,1,578
16,Nonmatching,Self,Friend,0,601
16,Nonmatching,Self,Self,1,553
16,Matching,Self,Self,1,936
16,Nonmatching,Self,Self,1,582
16,Matching,Self,Self,1,389
16,Matching,Self,Self,1,448
16,Nonmatching,Self,Self,1,472
16,Nonmatching,Self,Self,1,464
16,Nonmatching,Self,Self,1,345
16,Nonmatching,Self,Friend,0,443
16,Nonmatching,Self,Self,1,414
16,Nonmatching,Self,Self,1,300
16,Matching,Self,Self,1,475
16,Matching,Self,Self,1,596
16,Nonmatching,Self,Friend,1,880
16,Nonmatching,Self,Self,1,426
16,Matching,Self,Self,1,691
16,Nonmatching,Self,Self,1,764
16,Matching,Self,Self,1,495
16,Nonmatching,Self,Self,1,536
16,Matching,Self,Friend,1,600
16,Matching,Self,Friend,1,461
16,Nonmatching,Self,Self,1,621
16,Matching,Self,Friend,1,372
16,Matching,Self,Self,0,432
16,Nonmatching,Self,Self,1,710
16,Nonmatching,Self,Self,0,474
16,Nonmatching,Self,Self,1,614
16,Nonmatching,Self,Friend,1,749
16,Nonmatching,Self,Self,1,496
16,Matching,Self,Self,1,529
16,Nonmatching,Self,Self,1,631
16,Nonmatching,Self,Friend,0,467
16,Nonmatching,Self,Self,1,804
16,Nonmatching,Self,Self,1,420
16,Matching,Self,Self,0,285
16,Matching,Self,Self,0,388
16,Matching,Self,Self,1,450
16,Nonmatching,Self,Self,1,438
16,Matching,Self,Friend,0,415
16,Matching,Self,Self,1,885
16,Nonmatching,Self,Self,1,577
16,Matching,Self,Friend,1,677
16,Nonmatching,Self,Friend,1,641
16,Nonmatching,Self,Friend,1,673
16,Matching,Self,Self,0,507
16,Nonmatching,Self,Friend,1,634
16,Nonmatching,Self,Friend,1,403
16,Matching,Self,Self,0,321
16,Matching,Self,Self,1,832
16,Nonmatching,Self,Self,1,618
16,Nonmatching,Self,Friend,1,783
16,Matching,Self,Self,1,523
16,Nonmatching,Friend,Friend,1,703
16,Matching,Friend,Friend,1,572
16,Matching,Friend,Friend,1,460
16,Matching,Friend,Friend,1,404
16,Nonmatching,Friend,Self,1,397
16,Matching,Friend,Friend,1,371
16,Matching,Friend,Friend,1,339
16,Matching,Friend,Self,0,420
16,Nonmatching,Friend,Self,1,578
16,Matching,Friend,Friend,1,473
16,Nonmatching,Friend,Self,1,422
16,Nonmatching,Friend,Friend,0,487
16,Nonmatching,Friend,Friend,0,442
16,Nonmatching,Friend,Friend,1,533
16,Matching,Friend,Friend,1,606
16,Matching,Friend,Self,1,551
16,Nonmatching,Friend,Friend,1,511
16,Nonmatching,Friend,Friend,1,665
16,Nonmatching,Friend,Friend,1,416
16,Nonmatching,Friend,Self,0,470
16,Matching,Friend,Friend,0,611
16,Matching,Friend,Friend,1,661
16,Matching,Friend,Self,1,584
16,Matching,Friend,Friend,1,722
16,Matching,Friend,Friend,1,353
16,Nonmatching,Friend,Friend,1,624
16,Nonmatching,Friend,Friend,1,382
16,Nonmatching,Friend,Self,0,441
16,Nonmatching,Friend,Self,1,773
16,Matching,Friend,Friend,1,583
16,Matching,Friend,Friend,1,376
16,Nonmatching,Friend,Friend,1,631
16,Matching,Friend,Friend,1,644
16,Nonmatching,Friend,Friend,1,548
16,Matching,Friend,Friend,1,509
16,Nonmatching,Friend,Self,1,764
16,Matching,Friend,Friend,1,393
16,Matching,Friend,Friend,1,345
16,Matching,Friend,Self,0,419
16,Nonmatching,Friend,Friend,1,961
16,Nonmatching,Friend,Friend,1,654
16,Matching,Friend,Friend,1,622
16,Nonmatching,Friend,Friend,1,509
16,Nonmatching,Friend,Self,1,766
16,Matching,Friend,Friend,1,794
16,Nonmatching,Friend,Self,1,844
16,Nonmatching,Friend,Self,1,523
16,Matching,Friend,Friend,1,480
16,Nonmatching,Friend,Friend,1,550
16,Nonmatching,Friend,Self,1,767
16,Nonmatching,Friend,Self,1,413
16,Matching,Friend,Friend,1,496
16,Nonmatching,Friend,Friend,1,648
16,Nonmatching,Friend,Friend,1,435
16,Matching,Friend,Friend,0,390
16,Nonmatching,Friend,Friend,1,660
16,Matching,Friend,Friend,0,411
16,Matching,Friend,Self,1,877
16,Nonmatching,Friend,Friend,1,609
16,Nonmatching,Friend,Self,1,678
16,Nonmatching,Friend,Self,1,618
16,Nonmatching,Friend,Self,1,468
16,Matching,Friend,Friend,1,537
16,Nonmatching,Friend,Friend,1,499
16,Matching,Friend,Self,1,584
16,Matching,Friend,Friend,1,467
16,Nonmatching,Friend,Self,1,426
16,Nonmatching,Friend,Self,1,508
16,Matching,Friend,Friend,1,871
16,Nonmatching,Friend,Friend,1,820
16,Matching,Friend,Friend,1,572
16,Matching,Friend,Self,1,699
16,Nonmatching,Friend,Friend,1,795
16,Nonmatching,Friend,Friend,1,566
16,Nonmatching,Friend,Friend,1,468
16,Nonmatching,Friend,Friend,1,418
16,Matching,Friend,Friend,1,548
16,Matching,Friend,Friend,1,376
16,Matching,Friend,Friend,1,302
16,Nonmatching,Friend,Friend,1,418
16,Nonmatching,Friend,Friend,0,435
16,Nonmatching,Friend,Friend,1,556
16,Matching,Friend,Friend,1,517
16,Matching,Friend,Friend,1,668
16,Matching,Friend,Friend,1,435
16,Nonmatching,Friend,Friend,1,459
16,Matching,Friend,Friend,1,473
16,Matching,Friend,Friend,1,452
16,Nonmatching,Friend,Self,1,403
16,Nonmatching,Friend,Friend,1,514
16,Nonmatching,Friend,Friend,1,536
16,Nonmatching,Friend,Friend,1,408
16,Matching,Friend,Friend,1,447
16,Matching,Friend,Friend,1,379
16,Matching,Friend,Friend,1,378
16,Nonmatching,Friend,Friend,1,405
16,Nonmatching,Friend,Friend,1,470
16,Nonmatching,Friend,Friend,1,425
16,Matching,Friend,Friend,1,514
16,Matching,Friend,Friend,1,377
16,Nonmatching,Friend,Friend,1,652
16,Nonmatching,Friend,Friend,1,383
16,Nonmatching,Friend,Friend,1,395
16,Nonmatching,Friend,Self,1,783
16,Matching,Friend,Self,1,666
16,Nonmatching,Friend,Friend,1,797
16,Nonmatching,Friend,Friend,1,394
16,Matching,Friend,Friend,1,619
16,Nonmatching,Friend,Friend,1,490
16,Nonmatching,Friend,Friend,1,477
16,Matching,Friend,Friend,1,402
16,Nonmatching,Friend,Friend,1,515
16,Nonmatching,Friend,Friend,1,404
16,Matching,Friend,Friend,1,486
16,Matching,Friend,Friend,1,384
16,Matching,Friend,Self,1,635
16,Matching,Friend,Friend,1,524
16,Matching,Friend,Friend,1,318
16,Nonmatching,Friend,Friend,0,332
16,Matching,Friend,Friend,1,781
16,Nonmatching,Friend,Self,1,817
16,Matching,Friend,Friend,0,439
16,Nonmatching,Friend,Friend,1,522
16,Matching,Friend,Friend,1,489
16,Nonmatching,Friend,Friend,1,496
16,Matching,Friend,Friend,1,480
16,Matching,Friend,Self,0,470
16,Nonmatching,Friend,Self,1,889
16,Matching,Friend,Self,0,577
16,Matching,Friend,Self,1,629
16,Matching,Friend,Friend,1,570
16,Matching,Friend,Self,1,437
16,Nonmatching,Friend,Friend,0,473
16,Matching,Friend,Friend,1,726
16,Nonmatching,Friend,Friend,1,609
16,Nonmatching,Friend,Friend,0,593
16,Nonmatching,Friend,Self,1,441
16,Matching,Friend,Self,1,797
16,Matching,Friend,Friend,1,518
16,Matching,Friend,Friend,1,444
16,Matching,Friend,Friend,1,374
16,Matching,Friend,Self,0,423
16,Matching,Friend,Friend,1,397
16,Matching,Friend,Self,1,655
16,Matching,Friend,Friend,1,432
16,Matching,Friend,Friend,1,396
16,Nonmatching,Friend,Friend,1,490
16,Nonmatching,Friend,Friend,1,462
16,Nonmatching,Friend,Friend,1,390
16,Nonmatching,Friend,Friend,1,416
16,Matching,Friend,Friend,1,531
16,Matching,Friend,Self,0,417
16,Nonmatching,Friend,Friend,1,737
16,Matching,Friend,Friend,1,568
16,Nonmatching,Friend,Self,1,853
16,Nonmatching,Friend,Friend,0,472
16,Matching,Friend,Friend,1,460
16,Matching,Friend,Self,0,447
16,Matching,Friend,Self,1,1116
16,Nonmatching,Friend,Friend,1,741
16,Matching,Friend,Friend,1,448
16,Nonmatching,Friend,Friend,1,482
16,Matching,Friend,Friend,1,431
16,Matching,Friend,Friend,1,377
16,Matching,Friend,Friend,1,321
16,Matching,Friend,Self,1,556
16,Nonmatching,Friend,Friend,1,547
16,Matching,Friend,Self,0,488
16,Matching,Friend,Friend,1,385
16,Matching,Friend,Friend,1,381
16,Nonmatching,Friend,Friend,1,439
16,Nonmatching,Friend,Friend,1,430
16,Nonmatching,Friend,Friend,1,426
16,Matching,Friend,Friend,1,519
16,Matching,Friend,Self,1,519
16,Nonmatching,Friend,Friend,1,463
16,Nonmatching,Friend,Friend,1,449
16,Nonmatching,Friend,Self,0,440
16,Nonmatching,Friend,Friend,1,702
16,Nonmatching,Friend,Friend,1,417
16,Matching,Friend,Friend,1,588
16,Nonmatching,Friend,Self,1,675
16,Nonmatching,Friend,Friend,1,511
16,Nonmatching,Friend,Friend,1,403
16,Matching,Friend,Self,1,484
16,Matching,Friend,Friend,1,452
16,Matching,Friend,Self,0,566
16,Matching,Friend,Friend,1,487
16,Nonmatching,Friend,Friend,1,481
16,Matching,Friend,Self,0,476
