Participant #,Trial Type,Target Label,Shape Association,Target Accuracy,Reponse Time
16,Nonmatching,YOU,Friend,1,618
16,Matching,YOU,Self,1,641
16,Matching,FRIEND,Friend,1,530
16,Nonmatching,YOU,Friend,1,618
16,Nonmatching,YOU,Friend,1,883
16,Nonmatching,FRIEND,Self,1,684
16,Nonmatching,YOU,Friend,1,471
16,Matching,YOU,Self,1,549
16,Matching,YOU,Self,1,436
16,Nonmatching,YOU,Friend,1,546
16,Nonmatching,FRIEND,Self,1,838
16,Nonmatching,YOU,Friend,1,466
16,Nonmatching,FRIEND,Self,0,526
16,Nonmatching,FRIEND,Self,1,703
16,Nonmatching,YOU,Friend,1,747
16,Nonmatching,FRIEND,Self,1,646
16,Matching,FRIEND,Friend,1,670
16,Matching,FRIEND,Friend,1,396
16,Nonmatching,YOU,Friend,1,552
16,Nonmatching,YOU,Friend,1,557
16,Matching,FRIEND,Friend,0,422
16,Nonmatching,YOU,Friend,1,885
16,Nonmatching,YOU,Friend,1,781
16,Nonmatching,YOU,Friend,1,449
16,Nonmatching,FRIEND,Self,1,643
16,Nonmatching,FRIEND,Self,1,693
16,Nonmatching,FRIEND,Self,1,394
16,Matching,YOU,Self,1,593
16,Matching,FRIEND,Friend,1,881
16,Nonmatching,YOU,Friend,1,701
16,Matching,FRIEND,Friend,1,744
16,Nonmatching,YOU,Friend,1,788
16,Nonmatching,FRIEND,Self,1,634
16,Nonmatching,FRIEND,Self,1,710
16,Nonmatching,YOU,Friend,1,681
16,Matching,YOU,Self,1,355
16,Matching,FRIEND,Friend,1,860
16,Matching,FRIEND,Friend,0,750
16,Matching,FRIEND,Friend,0,476
16,Matching,YOU,Self,1,872
16,Nonmatching,YOU,Friend,1,533
16,Matching,FRIEND,Friend,1,895
16,Nonmatching,YOU,Friend,1,832
16,Nonmatching,YOU,Friend,1,814
16,Matching,FRIEND,Friend,0,460
16,Matching,YOU,Self,1,805
16,Matching,FRIEND,Friend,1,785
16,Nonmatching,YOU,Friend,1,692
16,Nonmatching,FRIEND,Self,1,862
16,Matching,YOU,Self,1,673
16,Nonmatching,FRIEND,Self,1,836
16,Nonmatching,FRIEND,Self,1,612
16,Matching,YOU,Self,1,985
16,Matching,YOU,Self,1,894
16,Matching,FRIEND,Friend,1,621
16,Matching,YOU,Self,1,748
16,Matching,FRIEND,Friend,1,629
16,Nonmatching,YOU,Friend,1,584
16,Nonmatching,FRIEND,Self,1,1118
16,Nonmatching,FRIEND,Self,1,463
16,Matching,YOU,Self,1,521
16,Matching,YOU,Self,1,395
16,Matching,FRIEND,Friend,0,422
16,Nonmatching,YOU,Friend,1,838
16,Matching,FRIEND,Friend,0,754
16,Nonmatching,FRIEND,Self,1,761
16,Nonmatching,FRIEND,Self,1,443
16,Matching,YOU,Self,1,356
16,Matching,YOU,Self,1,405
16,Matching,FRIEND,Friend,1,538
16,Nonmatching,YOU,Friend,1,539
16,Matching,FRIEND,Friend,1,637
16,Matching,YOU,Self,1,499
16,Nonmatching,FRIEND,Self,1,616
16,Matching,FRIEND,Friend,1,659
16,Matching,YOU,Self,1,468
16,Matching,YOU,Self,1,379
16,Nonmatching,FRIEND,Self,1,486
16,Nonmatching,YOU,Friend,1,974
16,Matching,YOU,Self,1,511
16,Matching,YOU,Self,1,385
16,Nonmatching,FRIEND,Self,1,577
16,Nonmatching,YOU,Friend,1,832
16,Nonmatching,YOU,Friend,1,681
16,Nonmatching,FRIEND,Self,1,646
16,Matching,FRIEND,Friend,1,562
16,Nonmatching,YOU,Friend,0,497
16,Matching,YOU,Self,1,619
16,Nonmatching,FRIEND,Self,1,671
16,Nonmatching,FRIEND,Self,1,458
16,Nonmatching,FRIEND,Self,1,382
16,Matching,FRIEND,Friend,1,477
16,Nonmatching,YOU,Friend,1,1158
16,Matching,FRIEND,Friend,1,831
16,Matching,YOU,Self,0,751
16,Nonmatching,YOU,Friend,1,816
5,Nonmatching,FRIEND,Self,1,797
5,Matching,YOU,Self,1,676
5,Matching,FRIEND,Friend,0,1019
5,Matching,FRIEND,Friend,1,798
5,Matching,YOU,Self,1,627
5,Matching,YOU,Self,1,661
5,Nonmatching,FRIEND,Self,1,785
5,Nonmatching,FRIEND,Self,1,765
5,Nonmatching,FRIEND,Self,1,595
5,Matching,FRIEND,Friend,1,947
5,Nonmatching,FRIEND,Self,1,972
5,Nonmatching,YOU,Friend,1,1077
5,Matching,FRIEND,Friend,1,1134
5,Nonmatching,YOU,Friend,1,872
5,Nonmatching,FRIEND,Self,1,841
5,Nonmatching,FRIEND,Self,1,797
5,Matching,FRIEND,Friend,1,751
5,Nonmatching,FRIEND,Self,1,818
5,Matching,YOU,Self,1,1080
5,Nonmatching,YOU,Friend,1,600
5,Nonmatching,YOU,Friend,0,519
5,Nonmatching,FRIEND,Self,1,794
5,Nonmatching,YOU,Friend,0,709
5,Matching,YOU,Self,1,716
5,Nonmatching,YOU,Friend,1,627
5,Matching,YOU,Self,1,497
5,Matching,FRIEND,Friend,0,967
5,Nonmatching,FRIEND,Self,1,867
5,Matching,YOU,Self,1,832
5,Nonmatching,YOU,Friend,1,821
5,Nonmatching,YOU,Friend,1,1079
5,Nonmatching,YOU,Friend,0,563
5,Nonmatching,FRIEND,Self,1,1078
5,Nonmatching,YOU,Friend,0,720
5,Nonmatching,YOU,Friend,1,891
5,Nonmatching,FRIEND,Self,1,753
5,Matching,FRIEND,Friend,1,1135
5,Matching,YOU,Self,1,753
5,Nonmatching,YOU,Friend,1,1035
5,Matching,YOU,Self,1,930
5,Matching,FRIEND,Friend,1,728
5,Matching,FRIEND,Friend,1,591
5,Nonmatching,YOU,Friend,1,694
5,Matching,YOU,Self,1,644
5,Matching,YOU,Self,1,479
5,Matching,YOU,Self,1,421
5,Nonmatching,YOU,Friend,0,514
5,Matching,YOU,Self,1,773
5,Matching,YOU,Self,1,517
5,Nonmatching,FRIEND,Self,1,610
5,Nonmatching,FRIEND,Self,1,836
5,Matching,YOU,Self,1,619
