#TIME RESPONSE CND
0.949 1 212
0.6461 1 212
0.7329 0 212
0.8503 1 212
0.9559 1 212
0.7544 1 212
0.7872 1 212
0.5422 1 212
0.6353 1 212
0.6951 1 212
0.788 1 212
0.8311 1 212
0.7189 1 212
0.4332 1 212
0.6461 0 212
0.6462 1 212
0.761 1 212
0.6962 1 212
0.9928 1 222
0.741 1 222
0.6713 1 222
0.8786 1 222
0.9109 1 222
0.5104 0 222
0.8385 1 222
0.8749 0 222
0.687 1 222
0.5708 1 222
0.7619 0 222
0.776 1 222
0.6174 1 222
0.5535 1 222
0.6921 1 222
0.7701 1 222
0.7713 1 222
0.6359 1 222
0.5434 1 222
0.5579 1 222
0.6151 1 222
0.5501 1 222
0.6846 1 222
0.8413 1 222
0.7564 1 222
0.508 1 222
0.8721 1 222
0.7487 1 222
0.6994 1 222
0.862 1 222
0.8228 1 222
0.6756 1 222
0.8385 1 222
0.5259 1 222
0.7382 1 222
0.771 0 222
0.6549 1 222
0.7044 1 222
0.7522 1 222
0.5912 1 222
0.7122 1 222
0.548 1 222
0.8089 0 222
0.7903 1 222
0.7198 1 222
0.6219 1 222
0.8111 1 222
0.8072 1 222
0.6043 1 222
0.7994 1 222
0.6043 1 222
0.5724 1 222
0.6826 1 222
0.5136 1 222
1.033 0 222
0.6865 0 222
0.93 1 222
0.8234 1 222
0.9326 0 232
0.7779 1 232
0.669 1 232
0.6382 1 232
0.6453 1 232
0.5791 1 232
0.5411 1 232
0.4514 1 232
0.6561 1 232
0.8367 1 232
0.4936 1 232
0.8958 1 232
0.3894 1 232
0.5573 1 232
0.5801 1 232
0.407 1 232
0.8228 1 232
0.6142 1 232
0.601 1 232
0.5864 1 232
0.6484 1 232
0.642 1 232
0.4787 1 232
0.9575 1 232
0.7632 1 232
0.8208 0 232
0.551 0 232
0.7711 1 232
0.7081 1 232
0.6444 1 232
0.6326 1 232
0.4955 1 232
0.8426 1 232
0.8237 1 232
0.9933 1 232
0.668 1 232
0.7432 0 232
0.7144 1 232
0.6654 1 232
0.5332 1 232
0.6037 1 232
0.7308 1 232
0.794 0 232
0.7485 1 232
0.8944 0 232
0.4732 1 232
0.8581 1 232
0.5445 1 232
0.74 1 232
0.8112 1 232
0.842 0 232
0.518 1 232
