Indice,r,LLCI,ULCI,Target,Paper_ID
ezDDM: v,0.097617427,-0.105340064,0.409027876,Mother,P54E1
ezDDM: z,0.254650958,0.091533835,0.387789297,Mother,P54E1
RT,0.08020576,-0.362101855,0.495949344,none,P54E1
ACC,0.084906652,-0.239129658,0.248106661,none,P54E1
Dprime,-0.201129093,-0.368019497,0.082936978,none,P54E1
Efficiency,-0.046417356,-0.217489957,0.111649086,none,P54E1
ezDDM: v,0.119479753,-0.042734056,0.246698566,none,P54E1
ezDDM: z,0.084906652,-0.239129658,0.248106661,none,P54E1
RT,0.026749295,-0.256737884,0.314006256,Acquaintance,P54E3
ACC,0.166635767,-0.044732852,0.456487499,Acquaintance,P54E3
Dprime,0.19947348,0.068163255,0.38910992,Acquaintance,P54E3
Efficiency,0.182669503,0.020799941,0.306058845,Acquaintance,P54E3
ezDDM: v,-0.204264636,-0.339420967,0.124139833,Acquaintance,P54E3
ezDDM: z,0.166635767,-0.044732852,0.456487499,Acquaintance,P54E3
RT,-0.015159154,-0.201232915,0.150276311,Mother,P54E3
ACC,0.014119781,-0.258104806,0.279624521,Mother,P54E3
Dprime,0.228887557,0.082509699,0.424804544,Mother,P54E3
Efficiency,-0.06227804,-0.217579974,0.117747862,Mother,P54E3
ezDDM: v,0.047324744,-0.170015786,0.334518207,Mother,P54E3
ezDDM: z,0.014119781,-0.258104806,0.279624521,Mother,P54E3
RT,0.141324758,-0.103212901,0.423820041,Friend,P95E1
ACC,-0.08106571,-0.260406206,0.117342741,Friend,P95E1
Dprime,0.054065286,-0.164006905,0.341000145,Friend,P95E1
Efficiency,0.064049634,-0.096920241,0.203732287,Friend,P95E1
ezDDM: v,0.131170947,-0.129791374,0.356798025,Friend,P95E1
ezDDM: z,-0.08106571,-0.260406206,0.117342741,Friend,P95E1
RT,0.594763447,0.426813395,0.708518048,Stranger,P95E1
ACC,0.090474948,-0.175266119,0.229927851,Stranger,P95E1
Dprime,0.245844705,0.092153284,0.455126739,Stranger,P95E1
Efficiency,0.346035753,0.230523673,0.398116419,Stranger,P95E1
ezDDM: v,0.387161328,0.1779048,0.59880147,Stranger,P95E1
ezDDM: z,0.090474948,-0.175266119,0.229927851,Stranger,P95E1
RT,0.372661881,-0.011764157,0.64752145,Friend,P95E2
ACC,0.217694549,0.030233368,0.415656651,Friend,P95E2
Dprime,-0.180760705,-0.349618539,-0.041804696,Friend,P95E2
Efficiency,0.029585178,-0.086566751,0.120866121,Friend,P95E2
ezDDM: v,0.239275495,0.032198301,0.391913356,Friend,P95E2
ezDDM: z,0.217694549,0.030233368,0.415656651,Friend,P95E2
RT,0.658571965,0.537647322,0.746028943,Stranger,P95E2
ACC,0.244401856,0.153255062,0.375609084,Stranger,P95E2
Dprime,-0.061111655,-0.158220423,0.069688439,Stranger,P95E2
Efficiency,0.190296638,0.112254377,0.247699424,Stranger,P95E2
ezDDM: v,0.410397983,0.307157092,0.504422984,Stranger,P95E2
ezDDM: z,0.244401856,0.153255062,0.375609084,Stranger,P95E2
RT,0.433647587,0.192040211,0.586177301,Friend,Pn4E1
ACC,0.157489035,-0.037492272,0.336515495,Friend,Pn4E1
Dprime,0.201407862,0.024347965,0.512314127,Friend,Pn4E1
Efficiency,0.100682955,-0.038970316,0.219654448,Friend,Pn4E1
ezDDM: v,0.182295196,-0.091580628,0.397221167,Friend,Pn4E1
ezDDM: z,0.157489035,-0.037492272,0.336515495,Friend,Pn4E1
RT,0.220478874,-0.098128162,0.469721854,Stranger,Pn4E1
ACC,0.342302338,0.237697844,0.55164986,Stranger,Pn4E1
Dprime,0.363078673,0.149003569,0.531227448,Stranger,Pn4E1
Efficiency,0.130025396,0.003202854,0.212545546,Stranger,Pn4E1
ezDDM: v,0.224539286,0.029906802,0.397327068,Stranger,Pn4E1
ezDDM: z,0.342302338,0.237697844,0.55164986,Stranger,Pn4E1
RT,0.555904203,0.423504085,0.727577752,Friend,Pn13E1
ACC,0.270746486,0.104299165,0.465622353,Friend,Pn13E1
Dprime,0.201991004,-0.008604448,0.481330169,Friend,Pn13E1
Efficiency,0.086187154,0.014588347,0.150261111,Friend,Pn13E1
ezDDM: v,0.385758098,0.185873317,0.555261587,Friend,Pn13E1
ezDDM: z,0.270746486,0.104299165,0.465622353,Friend,Pn13E1
RT,0.737511274,0.610701473,0.890157651,Stranger,Pn13E1
ACC,0.590234293,0.396668831,0.77464902,Stranger,Pn13E1
Dprime,0.470573626,0.213512176,0.822610294,Stranger,Pn13E1
Efficiency,0.249144412,0.184001278,0.300088705,Stranger,Pn13E1
ezDDM: v,0.57444763,0.389577124,0.839643209,Stranger,Pn13E1
ezDDM: z,0.590234293,0.396668831,0.77464902,Stranger,Pn13E1
RT,0.652788579,0.54192392,0.735937976,Father,Pn13E3
ACC,-0.005435738,-0.135410989,0.164487554,Father,Pn13E3
Dprime,0.182168593,0.067207978,0.311115466,Father,Pn13E3
Efficiency,0.27725903,0.193427865,0.34873251,Father,Pn13E3
ezDDM: v,0.201466519,0.006101407,0.430724966,Father,Pn13E3
ezDDM: z,-0.005435738,-0.135410989,0.164487554,Father,Pn13E3
RT,0.580618519,0.510205912,0.650079673,Stranger,Pn13E3
ACC,0.45240005,0.327200302,0.592557744,Stranger,Pn13E3
Dprime,0.204040589,-0.007092886,0.432766955,Stranger,Pn13E3
Efficiency,0.195261046,0.076537184,0.274643467,Stranger,Pn13E3
ezDDM: v,0.453102599,0.250320944,0.61478287,Stranger,Pn13E3
ezDDM: z,0.45240005,0.327200302,0.592557744,Stranger,Pn13E3
RT,0.355370112,0.100804038,0.649811238,Friend,Pn13E4
ACC,0.535613501,0.272155061,0.682769552,Friend,Pn13E4
Dprime,0.179905933,-0.119994964,0.420269969,Friend,Pn13E4
Efficiency,0.098985918,-0.012743195,0.190867602,Friend,Pn13E4
ezDDM: v,0.433118021,0.250768346,0.516404787,Friend,Pn13E4
ezDDM: z,0.535613501,0.272155061,0.682769552,Friend,Pn13E4
RT,0.457593507,0.193888395,0.690590468,Stranger,Pn13E4
ACC,0.117427873,-0.081169642,0.313397014,Stranger,Pn13E4
Dprime,0.054357953,-0.159178937,0.231108432,Stranger,Pn13E4
Efficiency,0.100476421,0.01784659,0.163844311,Stranger,Pn13E4
ezDDM: v,0.186243767,0.075274628,0.327852157,Stranger,Pn13E4
ezDDM: z,0.117427873,-0.081169642,0.313397014,Stranger,Pn13E4
RT,0.055058533,-0.268884969,0.309388025,Friend,Pn16E1
ACC,0.529169845,0.275774908,0.69155345,Friend,Pn16E1
Dprime,0.338887932,0.089104004,0.486727349,Friend,Pn16E1
Efficiency,0.189494798,0.128806117,0.232047719,Friend,Pn16E1
ezDDM: v,0.432324,0.194804593,0.573761679,Friend,Pn16E1
ezDDM: z,0.529169845,0.275774908,0.69155345,Friend,Pn16E1
RT,0.695876792,0.604703096,0.797652322,Friend,Pn16E2
ACC,0.560600556,0.376995294,0.698207397,Friend,Pn16E2
Dprime,0.467471892,0.327836751,0.66978726,Friend,Pn16E2
Efficiency,0.158057957,0.065449468,0.242078968,Friend,Pn16E2
ezDDM: v,0.588646575,0.446743356,0.701068483,Friend,Pn16E2
ezDDM: z,0.560600556,0.376995294,0.698207397,Friend,Pn16E2
RT,0.484344412,0.133237029,0.675284068,Friend,Pn16E3
ACC,0.752792695,0.655465529,0.84873248,Friend,Pn16E3
Dprime,0.676286768,0.587924872,0.74777514,Friend,Pn16E3
Efficiency,-0.07652672,-0.09768347,-0.061123988,Friend,Pn16E3
ezDDM: v,0.656939181,0.518432895,0.813524069,Friend,Pn16E3
ezDDM: z,0.608069553,0.463528317,0.747436231,Friend,Pn16E3
RT,0.746068213,0.671360799,0.811906521,Friend,Pn23E1
ACC,0.601165179,0.549633062,0.65668071,Friend,Pn23E1
Dprime,0.510965797,0.438111863,0.573985923,Friend,Pn23E1
Efficiency,0.25982763,0.235522659,0.277166663,Friend,Pn23E1
ezDDM: v,0.618618288,0.571781208,0.654084719,Friend,Pn23E1
ezDDM: z,0.601165179,0.549633062,0.65668071,Friend,Pn23E1
RT,0.843143904,0.809946549,0.872429363,Stranger,Pn23E1
ACC,0.736234086,0.708534028,0.76589126,Stranger,Pn23E1
Dprime,0.485388416,0.408064753,0.553561895,Stranger,Pn23E1
Efficiency,0.232798251,0.192737263,0.250781366,Stranger,Pn23E1
ezDDM: v,0.724242506,0.687689773,0.764216191,Stranger,Pn23E1
ezDDM: z,0.736234086,0.708534028,0.76589126,Stranger,Pn23E1
RT,0.039221602,-0.020684484,0.133452048,Stranger,Ps1E1
ACC,0.233508614,0.151838657,0.290742878,Stranger,Ps1E1
Dprime,0.310094022,0.233943092,0.356005429,Stranger,Ps1E1
Efficiency,0.164986691,0.114239698,0.235370588,Stranger,Ps1E1
ezDDM: v,0.145999845,0.079263051,0.230489706,Stranger,Ps1E1
ezDDM: z,0.221394274,0.163032986,0.292393135,Stranger,Ps1E1
