Indice,Method,r,Target,Paper_ID
Dprime,Odd-Even,0.10191,Friend,P95E1
Dprime,Permuted,0.243,Friend,P95E1
Efficiency,First-Second,0.15103,Friend,P95E1
Efficiency,Odd-Even,0.11551,Friend,P95E1
Efficiency,Permuted,0.17711,Friend,P95E1
ezDDM: v,First-Second,0.05586,Friend,P95E1
ezDDM: v,Odd-Even,0.16605,Friend,P95E1
ezDDM: v,Permuted,0.19647,Friend,P95E1
ezDDM: z,First-Second,-0.11025,Friend,P95E1
ezDDM: z,Odd-Even,0.21659,Friend,P95E1
ezDDM: z,Permuted,0.11659,Friend,P95E1
RT,First-Second,0.41892,Stranger,P95E1
RT,Odd-Even,0.56674,Stranger,P95E1
RT,Permuted,0.61855,Stranger,P95E1
ACC,First-Second,-0.05922,Stranger,P95E1
ACC,Odd-Even,-0.15529,Stranger,P95E1
ACC,Permuted,-0.21199,Stranger,P95E1
Dprime,First-Second,0.10606,Stranger,P95E1
Dprime,Odd-Even,0.10003,Stranger,P95E1
Dprime,Permuted,0.16463,Stranger,P95E1
Efficiency,First-Second,0.28368,Stranger,P95E1
Efficiency,Odd-Even,0.33915,Stranger,P95E1
Efficiency,Permuted,0.34213,Stranger,P95E1
ezDDM: v,First-Second,0.47608,Stranger,P95E1
ezDDM: v,Odd-Even,0.4493,Stranger,P95E1
ezDDM: v,Permuted,0.16432,Stranger,P95E1
ezDDM: z,First-Second,-0.07493,Stranger,P95E1
ezDDM: z,Odd-Even,-0.0831,Stranger,P95E1
ezDDM: z,Permuted,0.04935,Stranger,P95E1
RT,First-Second,0.62562,Friend,P95E2
RT,Odd-Even,0.41892,Friend,P95E2
RT,Permuted,0.17751,Friend,P95E2
ACC,First-Second,0.09973,Friend,P95E2
ACC,Odd-Even,0.41109,Friend,P95E2
ACC,Permuted,0.23866,Friend,P95E2
Dprime,First-Second,-0.3412,Friend,P95E2
Dprime,Odd-Even,-0.07315,Friend,P95E2
Dprime,Permuted,-0.12003,Friend,P95E2
Efficiency,First-Second,0.03944,Friend,P95E2
Efficiency,Odd-Even,0.05212,Friend,P95E2
Efficiency,Permuted,0.06553,Friend,P95E2
ezDDM: v,First-Second,0.30801,Friend,P95E2
ezDDM: v,Odd-Even,0.32156,Friend,P95E2
ezDDM: v,Permuted,0.11723,Friend,P95E2
ezDDM: z,First-Second,0.18564,Friend,P95E2
ezDDM: z,Odd-Even,0.20064,Friend,P95E2
ezDDM: z,Permuted,-0.01264,Friend,P95E2
RT,First-Second,0.42938,Stranger,P95E2
RT,Odd-Even,0.71436,Stranger,P95E2
RT,Permuted,0.67497,Stranger,P95E2
ACC,First-Second,0.27166,Stranger,P95E2
ACC,Odd-Even,0.30157,Stranger,P95E2
ACC,Permuted,0.38066,Stranger,P95E2
Dprime,First-Second,0.07883,Stranger,P95E2
Dprime,Odd-Even,-0.16387,Stranger,P95E2
Dprime,Permuted,-0.15498,Stranger,P95E2
Efficiency,First-Second,0.1636,Stranger,P95E2
Efficiency,Odd-Even,0.25509,Stranger,P95E2
Efficiency,Permuted,0.09846,Stranger,P95E2
ezDDM: v,First-Second,0.33288,Stranger,P95E2
ezDDM: v,Odd-Even,0.63723,Stranger,P95E2
ezDDM: v,Permuted,0.39049,Stranger,P95E2
ezDDM: z,First-Second,-0.01365,Stranger,P95E2
ezDDM: z,Odd-Even,-0.09133,Stranger,P95E2
ezDDM: z,Permuted,0.08356,Stranger,P95E2
RT,First-Second,0.4342,Friend,Pn4E1
RT,Odd-Even,0.02782,Friend,Pn4E1
RT,Permuted,0.53613,Friend,Pn4E1
ACC,First-Second,0.31418,Friend,Pn4E1
ACC,Odd-Even,-0.08412,Friend,Pn4E1
ACC,Permuted,0.33942,Friend,Pn4E1
Dprime,First-Second,0.35554,Friend,Pn4E1
Dprime,Odd-Even,0.38642,Friend,Pn4E1
Dprime,Permuted,0.46104,Friend,Pn4E1
Efficiency,First-Second,0.06508,Friend,Pn4E1
Efficiency,Odd-Even,0.2258,Friend,Pn4E1
Efficiency,Permuted,0.20236,Friend,Pn4E1
ezDDM: v,First-Second,0.19617,Friend,Pn4E1
ezDDM: v,Odd-Even,0.20532,Friend,Pn4E1
ezDDM: v,Permuted,0.30465,Friend,Pn4E1
ezDDM: z,First-Second,0.37393,Friend,Pn4E1
ezDDM: z,Odd-Even,0.33241,Friend,Pn4E1
ezDDM: z,Permuted,0.50495,Friend,Pn4E1
RT,First-Second,0.38739,Stranger,Pn4E1
RT,Odd-Even,-0.12083,Stranger,Pn4E1
RT,Permuted,0.06297,Stranger,Pn4E1
ACC,First-Second,0.19835,Stranger,Pn4E1
ACC,Odd-Even,0.23278,Stranger,Pn4E1
