"","Target","Indice","Paper_ID","yi","Sample_Size","Trials","Author","Year","Exp"
"100","Close","eta","P0E1",-0.336652217430114,33,60,"Hu et al.",2023,1
"101","Close","eta","P6E1",-2.35686885289501,46,20,"Constable & Knoblich",2020,1
"102","Close","eta","P54E1",-0.271371514485124,31,18,"Schäfer & Frings",2019,1
"103","Close","eta","P54E3",-0.47310596792763,33,24,"Schäfer & Frings",2019,3
"104","Close","eta","Pn4E1",-1.30715730636122,29,30,"Golubickis & Macrae",2021,1
"105","Close","eta","Pn13E1",-1.43336784122297,13,60,"Navon & Makovski",2021,1
"106","Close","eta","Pn13E3",-0.148985023048483,28,60,"Navon & Makovski",2021,3
"107","Close","eta","Pn13E4",-0.371364953859012,27,60,"Navon & Makovski",2021,4
"108","Close","eta","Pn16E1",-2.56045572908941,20,50,"Svensson et al.",2022,1
"109","Close","eta","Pn16E2",-1.074953108732,24,100,"Svensson et al.",2022,2
"110","Close","eta","Pn16E3",-1.93927952580431,24,100,"Svensson et al.",2022,3
"111","Close","eta","Pn23E1",-0.739045181888405,105,60,"Xu et al.",2021,1
"112","Close","eta","P95E1",-0.336989874252816,18,56,"Woźniak et al.",2018,1
"113","Close","eta","P95E2",-0.743987289922591,18,60,"Woźniak et al.",2018,2
"114","Close","eta","Ps3E1",-1.27507247221847,24,40,"Sui (unpublished)",2014,1
"115","Close","eta","Ps4E1",-1.03292132400064,20,40,"Sui (unpublished)",2015,1
"116","Close","eta","Ps4E2",0.00443484325911372,21,40,"Sui (unpublished)",2015,2
"117","Close","eta","Ps5E1",-0.226822831428485,24,60,"Sui et al.",2014,1
"118","Close","eta","Ps5E2",-0.0483410803484264,18,60,"Sui et al.",2014,2
"119","Close","eta","Ps5E3",-3.06549845708945,22,60,"Sui et al.",2014,3
"120","Close","eta","Ps5E4",-1.47420879783865,20,60,"Sui et al.",2014,4
"121","Close","eta","Pt2E1",-0.923284217967963,142,20,"Hobbs et al.",2023,1
"122","Close","eta","Pt3E1",-0.64792205995068,108,60,"Liang et al.",2021,1
"123","Close","eta","Pt9E1",-0.396208642364524,18,60,"Woźniak & Knoblich",2022,1
"124","Close","eta","Pt9E2",-0.0734274256161367,18,60,"Woźniak & Knoblich",2022,2
"125","Close","eta","Pt9E3",0.224094654349714,18,60,"Woźniak & Knoblich",2022,3
"126","Close","eta","Pt18E1",-0.988855898755492,20,160,"Sui et al.",2023,1
"127","Close","eta","P19E1",-1.25166899596212,17,60,"Bukowski et al.",2021,1
"128","Close","eta","P19E2",-2.37992301629917,34,60,"Bukowski et al.",2021,2
"129","Close","eta","P34E1",-0.00488548142920825,29,12,"Kolvoort et al.",2020,1
"130","Close","eta","Pt27E1",-2.07383570559793,32,40,"Martínez-Pérez et al.",2024,2
"131","Close","eta","Pt13E1",-0.261881603060728,46,20,"Feldborg et al.",2021,1
"132","Close","eta","Pt28E1",-1.48829864804289,30,60,"Amodeo et al.",2024,1
"133","Close","ezDDM v","P0E1",0.195391775771441,33,60,"Hu et al.",2023,1
"134","Close","ezDDM v","P6E1",1.26963137490417,46,20,"Constable & Knoblich",2020,1
"135","Close","ezDDM v","P54E1",0.219221521767088,31,18,"Schäfer & Frings",2019,1
"136","Close","ezDDM v","P54E3",0.471228492829621,33,24,"Schäfer & Frings",2019,3
